discente,ano,turma,texto,respostas,data,tempo_inicial,tempo_final,duracao,compreensao,coeficiente_variacao,percentual_corretas,correta,grafia_incorreta,aceitavel,classe_correta,erro,branco
EST_002,7,B,Inseguranças no uso das redes sociais,"['melhora', 'Facilidade', 'todo', 'o', 'desgraças', 'principais', 'E', 'pessoais', 'pessoas', 'são', 'sendo', 'muita', 'divulgação', 'arquivos', 'preocupação', 'informações', 'de', 'redes', 'conseguem', 'verdade', 'Isso', 'e', 'de', 'locais', 'sociais', 'mudança', 'Medos', 'ter', 'redes', 'depressão', 'com', 'de', 'pelos', 'informações', 'devem', 'uso', 'as']",29-02-2024,07:55,08:28,33.0,90.667,0.282,45.946,17,3,13,2,2,0
EST_003,7,A,Inseguranças no uso das redes sociais,"['tecnologia', '-', '-', 'o', 'dificuldade', 'muitas', 'e', 'pessoais', 'coisas', 'seram', 'sendo', 'muita', 'vasação', '-', 'coisa', 'informações', 'de', 'redes', 'conseguimos', 'verdeiro', 'mais', 'é', '-', '-', 'publicas', 'atividade', '-', 'ter', 'redes', 'depresão', 'com', 'de', 'por', 'atividades', 'devem', 'assunto', 'nas']",29-02-2024,08:03,08:25,22.0,61.876,0.738,24.324,9,3,10,3,6,6
EST_006,7,A,Inseguranças no uso das redes sociais,"['capacidade', 'rapides', 'todo', 'com', 'desgraças', 'grandes', 'pelo', 'privados', 'vezes', 'forão', 'sendo', 'muita', 'propagação', 'senhas', 'situação', 'notícias', 'de', 'redes', 'podendo', 'real', 'isso', 'e', 'de', 'autoridades', 'sociais', 'onda', 'falhas', 'ter', 'redes', 'depressão', 'com', 'de', 'pelas', 'informações', 'podem', 'uso', 'das']",29-02-2024,08:03,08:24,21.0,77.496,0.472,37.838,14,2,11,5,5,0
EST_009,7,B,Inseguranças no uso das redes sociais,"['função', 'função', 'nosso', 'o', 'mudanças', 'muitas', 'e', 'também', 'coisas', 'serão', 'sendo', 'muita', 'rede', 'conversas', 'preocupação', 'coisas', 'de', '-', 'é', 'verdadeiro', 'e', 'ou', 'da', 'preoculpação', 'sociais', 'coisas', 'brigas', 'ter', 'redes', 'depressão', 'com', 'tem', 'com', 'informações', 'não', 'dever', 'muitas']",29-02-2024,07:55,08:20,25.0,61.455,0.724,21.622,8,1,12,5,10,1
EST_014,7,A,Inseguranças no uso das redes sociais,"['forma', 'forma', 'todo', 'nosso', 'diversões', 'diversos', 'entretanto', 'privados', 'vezes', 'são', 'sendo', 'diversas', '-', '-', 'coisa', 'informações', 'de', 'redes', 'podemos', 'verdadeiro', 'isso', 'com', 'de', '-', 'sociais', 'forma', 'sentimentos', 'ser', 'redes', 'depressão', 'com', 'de', '-', 'informações', '-', '-', '-']",29-02-2024,08:03,08:28,25.0,63.216,0.71,35.135,13,1,8,4,4,7
EST_021,7,B,Inseguranças no uso das redes sociais,"['ação', 'facilidade', 'todo', 'esse', 'dificuldade', 'muitas', 'como', 'usado', 'vezes', 'são', 'sendo', 'uma', 'coleta', 'dados', 'preocupação', 'contas', 'no', 'redes', 'sabemos', 'verdadeiro', 'as', 'graves', 'de', 'jovens', 'sociais', 'sensação', 'traumas', 'buscar', 'redes', 'depressão', 'com', 'de', 'por', 'dados', 'devem', 'perigo', 'falsas']",29-02-2024,07:55,08:15,20.0,78.129,0.486,43.243,16,1,11,3,6,0
EST_022,7,B,Inseguranças no uso das redes sociais,"['internet', 'forma', 'todo', 'o', 'inseguranças', 'maiores', 'usamos', 'coletados', 'vezes', 'são', 'sendo', 'muita', 'coleta', 'dados', 'preocupação', 'notícias', 'no', 'redes', 'sabem', 'verdade', 'Como', 'e', 'mentais', 'preocupação', 'sociais', 'forma', 'elogios', 'criar', 'rede', 'preocupação', 'com', 'de', 'e', 'dados', 'devem', 'uso', 'das']",29-02-2024,07:55,08:15,20.0,79.602,0.457,40.541,15,2,11,4,5,0
EST_028,7,B,Inseguranças no uso das redes sociais,"['maneira', 'forma', 'todo', 'esse', 'complicações', 'seguintes', 'É', 'pessoais', 'vezes', 'são', 'sendo', 'uma', 'divulgação', 'cpf', 'preocupação', 'noticias', 'do', 'redes', 'conseguimos', 'real', 'isso', 'e', 'a', 'moral', 'sociais', 'crise', 'insegurança', 'ser', 'redes', 'depressão', 'com', 'de', 'por', 'dados', 'devem', 'uso', 'das']",29-02-2024,07:55,08:03,8.0,81.313,0.443,51.351,19,2,8,3,5,0
EST_029,7,A,Inseguranças no uso das redes sociais,"['falta', 'insegurança', 'nosso', 'o', 'dúvidas', 'nossas', 'e', 'usados', 'pessoas', 'são', 'sendo', 'nossa', 'privacidade', 'dados', 'preocupação', 'informações', 'do', 'redes', 'podemos', 'verdadeiro', 'isso', 'e', 'a', 'etc', 'sociais', 'grande', '-', 'criar', 'redes', 'depressão', 'com', 'de', 'e', 'imagens', 'devem', 'conteudo', 'as']",29-02-2024,08:03,08:16,13.0,74.824,0.514,35.135,13,3,10,5,5,1
EST_031,7,B,Inseguranças no uso das redes sociais,"['rede', 'maneira', 'todo', 'esse', 'inseguranças', 'maiores', 'Com', 'pessoais', 'vezes', 'serão', 'sendo', 'uma', 'divulgação', 'golpes', 'divulgação', 'informações', 'de', 'redes', 'conseguir', 'verdadeiro', 'isso', 'juridicos', 'morais', 'emocionais', 'sociais', 'insegurança', 'traumas', 'ter', 'redes', 'depressão', 'com', 'de', 'e', 'dados', 'além', 'uso', 'das']",29-02-2024,07:55,08:13,18.0,87.0,0.366,56.757,21,3,8,1,4,0
