discente,ano,turma,texto,respostas,data,tempo_inicial,tempo_final,duracao,correcao,quadrante_1,quadrante_2,quadrante_3,quadrante_4,compreensao,coeficiente_variacao,taxa_exatas,exata,grafia_incorreta,aceitavel,classe_correta,erro,branco
EST_010,8,A,A importância da responsabilidade ambiental,"['meio', 'e', 'lugar', 'uma', 'para', 'para', 'de', '-', 'de', 'energia', '-', 'desligar', '-', 'casa', 'não', '-', 'responsavel', 'é', 'o', 'quatro', 'organicos', 'para', 'uma', 'faz', 'é', 'ou', 'não', '-', '-', '-', '-', 'um', 'e', 'do', 'de', 'a', 'nossa', '-']",29-02-2024,07:56,08:07,11.0,"['exata', 'erro', 'classe_correta', 'exata', 'exata', 'exata', 'exata', 'branco', 'exata', 'exata', 'branco', 'exata', 'branco', 'classe_correta', 'exata', 'branco', 'grafia_incorreta', 'exata', 'exata', 'erro', 'classe_correta', 'exata', 'exata', 'exata', 'exata', 'erro', 'exata', 'branco', 'branco', 'branco', 'branco', 'erro', 'erro', 'grafia_incorreta', 'exata', 'exata', 'exata', 'branco']","('exata', 4)","('exata', 2)","('exata', 4)","('exata', 3)",59.211,0.795,50.0,19,2,0,3,5,9
EST_011,8,B,A importância da responsabilidade ambiental,"['meio', 'ambiente', 'ambiente', 'uma', 'para', 'para', 'de', 'forma', 'de', 'energia', 'evitar', 'desligar', 'elétricos', 'uso', 'não', 'pingar', 'responsável', 'é', 'o', 'várias', 'vidro', 'para', 'uma', 'faz', 'é', 'ao', 'não', 'e', 'esses', 'são', 'mas', 'responsável', 'e', 'do', 'de', 'a', 'nossa', 'nosso']",29-02-2024,08:00,08:15,15.0,"['exata', 'erro', 'aceitavel', 'exata', 'exata', 'exata', 'exata', 'erro', 'exata', 'exata', 'erro', 'exata', 'grafia_incorreta', 'exata', 'exata', 'erro', 'exata', 'exata', 'exata', 'aceitavel', 'exata', 'exata', 'exata', 'exata', 'exata', 'exata', 'exata', 'exata', 'erro', 'erro', 'grafia_incorreta', 'exata', 'erro', 'grafia_incorreta', 'exata', 'exata', 'exata', 'exata']","('exata', 4)","('exata', 3)","('exata', 8)","('exata', 4)",81.579,0.475,68.421,26,3,2,0,7,0
EST_012,8,B,A importância da responsabilidade ambiental,"['meio', 'cuida', 'mundo', 'uma', 'para', 'para', 'de', 'delas', 'de', 'rede', 'nós', 'desligar', 'domesticos', 'funcionamento', 'não', 'precisão', 'generoso', 'é', 'o', 'diversos', 'vidro', 'para', 'uma', 'faz', 'é', 'ao', 'não', 'e', 'mais', 'precisa', 'muito', 'generoso', 'precisa', 'do', 'de', 'a', 'nossa', 'nosso']",29-02-2024,08:00,08:10,10.0,"['exata', 'grafia_incorreta', 'aceitavel', 'exata', 'exata', 'exata', 'exata', 'exata', 'exata', 'classe_correta', 'aceitavel', 'exata', 'erro', 'aceitavel', 'exata', 'aceitavel', 'aceitavel', 'exata', 'exata', 'erro', 'exata', 'exata', 'exata', 'exata', 'exata', 'exata', 'exata', 'exata', 'erro', 'aceitavel', 'aceitavel', 'aceitavel', 'aceitavel', 'grafia_incorreta', 'exata', 'exata', 'exata', 'exata']","('exata', 6)","('aceitavel', 2)","('exata', 8)","('aceitavel', 4)",90.789,0.306,60.526,23,2,9,1,3,0
EST_013,8,B,A importância da responsabilidade ambiental,"['meio', 'cuidar', 'ambiente', 'uma', 'para', 'para', 'de', 'maneira', 'dos', 'energia', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']",29-02-2024,08:00,08:30,30.0,"['exata', 'exata', 'aceitavel', 'exata', 'exata', 'exata', 'exata', 'erro', 'aceitavel', 'exata', 'branco', 'branco', 'branco', 'branco', 'branco', 'branco', 'branco', 'branco', 'branco', 'branco', 'branco', 'branco', 'branco', 'branco', 'branco', 'branco', 'branco', 'branco', 'branco', 'branco', 'branco', 'branco', 'branco', 'branco', 'branco', 'branco', 'branco', 'branco']","('exata', 4)","('branco', 10)","('branco', 9)","('branco', 9)",23.684,1.795,18.421,7,0,2,0,1,28
EST_016,8,B,A importância da responsabilidade ambiental,"['meio', 'habitate', 'espaço', 'alta', 'para', 'para', 'de', 'forma', 'de', 'luz', 'consegui', 'desligar', 'e', 'casa', 'não', '-', 'cuidadosos', 'é', 'o', 'varias', 'vidro', 'para', 'uma', 'faz', 'é', 'do', 'não', 'e', 'por', 'usa', 'ficar', 'o', 'de', 'do', 'com', 'e', 'nossa', 'nosso']",29-02-2024,08:00,08:10,10.0,"['exata', 'aceitavel', 'classe_correta', 'erro', 'exata', 'exata', 'exata', 'erro', 'exata', 'classe_correta', 'erro', 'exata', 'erro', 'classe_correta', 'exata', 'branco', 'aceitavel', 'exata', 'exata', 'erro', 'exata', 'exata', 'exata', 'exata', 'exata', 'grafia_incorreta', 'exata', 'exata', 'erro', 'aceitavel', 'erro', 'erro', 'erro', 'grafia_incorreta', 'classe_correta', 'grafia_incorreta', 'exata', 'exata']","('exata', 3)","('exata', 2)","('exata', 5)","('erro', 3)",68.421,0.637,47.368,18,3,3,4,9,1
EST_017,8,B,A importância da responsabilidade ambiental,"['nosso', 'que', 'luga', 'de', 'podemos', 'para', 'de', 'lugar', 'de', 'e', 'todo', 'que', 'São', 'casa', 'não', 'nesecidade', 'presevado', 'e', 'reciclar', 'a', 'garrafas', 'a', 'temo', 'fizemos', 'que', 'do', 'e', 'podemo', 'como', 'fazemos', 'que', 'um', 'e', 'do', 'de', 'a', 'diferença', 'nosso']",29-02-2024,08:00,08:09,9.0,"['erro', 'erro', 'classe_correta', 'erro', 'erro', 'exata', 'exata', 'erro', 'exata', 'erro', 'erro', 'erro', 'erro', 'classe_correta', 'exata', 'grafia_incorreta', 'erro', 'grafia_incorreta', 'erro', 'erro', 'classe_correta', 'aceitavel', 'erro', 'aceitavel', 'erro', 'grafia_incorreta', 'erro', 'erro', 'erro', 'aceitavel', 'erro', 'erro', 'erro', 'grafia_incorreta', 'exata', 'exata', 'erro', 'exata']","('erro', 2)","('erro', 3)","('erro', 3)","('erro', 3)",40.789,1.155,18.421,7,4,3,3,21,0
EST_019,8,A,A importância da responsabilidade ambiental,"['meio', 'é', 'lugar', 'nossa', 'para', 'para', 'de', 'delas', 'os', 'energia', 'isso', 'apaga', 'para', 'uso', 'evitar', 'necessidade', 'responsavel', 'é', 'o', 'cores', 'vidro', 'para', 'uma', 'tem', 'e', 'ao', 'não', 'para', 'por', 'prejudicam', 'mais', 'conseente', 'mais', 'do', 'de', 'a', 'sua', 'nosso']",29-02-2024,07:56,08:06,10.0,"['exata', 'erro', 'classe_correta', 'aceitavel', 'exata', 'exata', 'exata', 'exata', 'erro', 'exata', 'exata', 'aceitavel', 'erro', 'exata', 'erro', 'exata', 'grafia_incorreta', 'exata', 'exata', 'erro', 'exata', 'exata', 'exata', 'classe_correta', 'grafia_incorreta', 'exata', 'exata', 'erro', 'erro', 'aceitavel', 'exata', 'erro', 'erro', 'grafia_incorreta', 'exata', 'exata', 'aceitavel', 'exata']","('exata', 4)","('exata', 2)","('exata', 3)","('erro', 2)",73.684,0.577,52.632,20,3,4,2,9,0
EST_020,8,A,A importância da responsabilidade ambiental,"['meio', 'por', 'lugar', 'uma', 'para', 'para', 'de', 'delas', 'do', 'energia', 'economizar', 'desligar', 'eletricós', 'uso', 'não', 'motivo', 'responsavel', 'é', 'o', 'diversas', 'vidro', 'para', 'essas', 'fazem', 'é', 'ao', 'não', 'e', 'são', 'ajudam', 'muito', 'bom', 'é', 'do', 'de', 'a', 'nossa', 'nosso']",29-02-2024,07:56,08:13,17.0,"['exata', 'erro', 'classe_correta', 'exata', 'exata', 'exata', 'exata', 'exata', 'grafia_incorreta', 'exata', 'erro', 'exata', 'grafia_incorreta', 'exata', 'exata', 'classe_correta', 'grafia_incorreta', 'exata', 'exata', 'aceitavel', 'exata', 'exata', 'aceitavel', 'grafia_incorreta', 'exata', 'exata', 'exata', 'exata', 'exata', 'classe_correta', 'aceitavel', 'aceitavel', 'erro', 'grafia_incorreta', 'exata', 'exata', 'exata', 'exata']","('exata', 5)","('exata', 2)","('exata', 5)","('exata', 4)",88.158,0.33,60.526,23,5,4,3,3,0
EST_040,8,B,A importância da responsabilidade ambiental,"['meio', '-', '-', 'uma', 'para', 'para', 'para', 'forma', 'de', '-', '-', '-', '-', '-', 'não', 'nessecidade', 'responsável', 'é', 'o', 'lixeira', 'vidro', 'para', 'uma', 'faz', 'é', 'ao', 'não', 'para', 'os', 'a', 'é', '-', 'é', 'ao', 'de', 'a', '-', 'nosso']",29-02-2024,08:00,08:15,15.0,"['exata', 'branco', 'branco', 'exata', 'exata', 'exata', 'aceitavel', 'erro', 'exata', 'branco', 'branco', 'branco', 'branco', 'branco', 'exata', 'grafia_incorreta', 'exata', 'exata', 'exata', 'erro', 'exata', 'exata', 'exata', 'exata', 'exata', 'exata', 'exata', 'erro', 'erro', 'erro', 'erro', 'branco', 'erro', 'grafia_incorreta', 'exata', 'exata', 'branco', 'exata']","('exata', 3)","('branco', 4)","('exata', 7)","('erro', 2)",57.895,0.853,50.0,19,2,1,0,7,9
EST_044,8,B,A importância da responsabilidade ambiental,"['meio', 'Pois', 'mundo', 'uma', 'para', 'com', 'de', 'forma', 'em', 'energia', 'isso', 'desligar', 'para', 'uso', 'não', 'usar', 'legal', 'seria', 'todo', 'varias', 'vidro', 'para', 'isso', 'faz', 'é', 'ao', 'não', 'poder', 'muitos', 'mudam', 'melhor', 'responsavel', 'para', 'do', 'de', 'a', 'nossa', 'nosso']",29-02-2024,08:00,08:17,17.0,"['exata', 'erro', 'aceitavel', 'exata', 'exata', 'classe_correta', 'exata', 'erro', 'aceitavel', 'exata', 'exata', 'exata', 'erro', 'exata', 'exata', 'erro', 'aceitavel', 'aceitavel', 'classe_correta', 'erro', 'exata', 'exata', 'erro', 'exata', 'exata', 'exata', 'exata', 'erro', 'erro', 'aceitavel', 'aceitavel', 'grafia_incorreta', 'erro', 'grafia_incorreta', 'exata', 'exata', 'exata', 'exata']","('exata', 2)","('exata', 2)","('exata', 4)","('exata', 4)",73.684,0.577,50.0,19,2,6,2,9,0
EST_049,8,A,A importância da responsabilidade ambiental,"['nosso', 'vem', 'ambiente', 'muita', 'em', 'para', 'de', 'dessas', 'dos', 'lâmpadas', 'todos', 'apagar', 'para', 'uso', 'não', 'presisam', 'contribuir', 'e', 'os', 'cada', 'reciclaveis', 'para', 'muita', 'faz', 'é', 'ao', 'não', 'tambem', 'são', 'ajuda', 'ser', 'organizado', 'para', 'ajudar', 'de', 'a', 'nossa', 'nosso']",29-02-2024,07:56,08:06,10.0,"['erro', 'aceitavel', 'aceitavel', 'aceitavel', 'aceitavel', 'exata', 'exata', 'grafia_incorreta', 'aceitavel', 'aceitavel', 'aceitavel', 'aceitavel', 'erro', 'exata', 'exata', 'aceitavel', 'erro', 'grafia_incorreta', 'grafia_incorreta', 'aceitavel', 'erro', 'exata', 'aceitavel', 'exata', 'exata', 'exata', 'exata', 'erro', 'exata', 'classe_correta', 'erro', 'erro', 'erro', 'erro', 'exata', 'exata', 'exata', 'exata']","('aceitavel', 4)","('aceitavel', 2)","('exata', 4)","('erro', 4)",75.0,0.567,36.842,14,3,11,1,9,0
EST_050,8,B,A importância da responsabilidade ambiental,"['meio', 'cuidando', 'meio', 'uma', 'para', 'a', 'de', 'forma', 'de', 'energia', 'isso', 'desligar', 'domesticos', '-', 'não', 'pingar', 'limpo', 'é', 'o', 'varias', 'vidro', 'diretamente', 'uma', 'faz', 'é', 'ao', 'não', 'e', 'são', 'tomamos', 'muito', 'responsavel', 'é', 'do', 'de', 'a', 'nossa', 'nosso']",29-02-2024,08:00,08:18,18.0,"['exata', 'grafia_incorreta', 'erro', 'exata', 'exata', 'aceitavel', 'exata', 'erro', 'exata', 'exata', 'exata', 'exata', 'erro', 'branco', 'exata', 'erro', 'erro', 'exata', 'exata', 'erro', 'exata', 'erro', 'exata', 'exata', 'exata', 'exata', 'exata', 'exata', 'exata', 'aceitavel', 'aceitavel', 'grafia_incorreta', 'erro', 'grafia_incorreta', 'exata', 'exata', 'exata', 'exata']","('exata', 2)","('exata', 2)","('exata', 7)","('exata', 4)",76.316,0.557,60.526,23,3,3,0,8,1
EST_063,8,A,A importância da responsabilidade ambiental,"['nosso', '-', 'planeta', 'uma', 'para', 'para', 'de', '-', 'dos', '-', '-', 'apagar', 'para', '-', 'não', 'demorar', 'cuidadoso', 'é', 'latas', 'umas', 'vidro', '-', 'uma', 'tem', 'é', 'ou', 'não', 'cuidar', 'por', 'melhora', 'bom', 'cuidadoso', 'mas', 'do', 'em', 'a', 'nossa', 'nosso']",29-02-2024,07:56,08:09,13.0,"['erro', 'branco', 'exata', 'exata', 'exata', 'exata', 'exata', 'branco', 'aceitavel', 'branco', 'branco', 'aceitavel', 'erro', 'branco', 'exata', 'erro', 'aceitavel', 'exata', 'erro', 'aceitavel', 'exata', 'branco', 'exata', 'classe_correta', 'exata', 'erro', 'exata', 'erro', 'erro', 'erro', 'erro', 'aceitavel', 'erro', 'grafia_incorreta', 'aceitavel', 'exata', 'exata', 'exata']","('exata', 5)","('branco', 1)","('erro', 2)","('exata', 3)",56.579,0.864,36.842,14,1,6,1,10,6
EST_066,8,B,A importância da responsabilidade ambiental,"['nosso', 'Na', 'planeta', 'uma', 'para', 'para', 'de', 'delas', 'de', 'enegia', 'ambiente', 'que', 'abagados', 'casa', 'não', 'usado', 'responsável', 'é', 'o', 'como', 'vidor', 'para', 'uma', 'faz', 'é', 'ao', 'não', 'e', 'por', 'ajudam', 'ser', 'consiente', 'é', 'do', 'como', 'a', 'nossa', 'para']",29-02-2024,08:00,08:14,14.0,"['erro', 'erro', 'exata', 'exata', 'exata', 'exata', 'exata', 'exata', 'exata', 'grafia_incorreta', 'erro', 'erro', 'erro', 'classe_correta', 'exata', 'erro', 'exata', 'exata', 'exata', 'erro', 'grafia_incorreta', 'exata', 'exata', 'exata', 'exata', 'exata', 'exata', 'exata', 'erro', 'classe_correta', 'erro', 'erro', 'erro', 'grafia_incorreta', 'aceitavel', 'exata', 'exata', 'erro']","('exata', 7)","('erro', 3)","('exata', 7)","('erro', 3)",65.789,0.7,52.632,20,3,1,2,12,0
EST_070,8,B,A importância da responsabilidade ambiental,"['nosso', 'o', 'lugar', 'uma', 'para', 'para', 'de', 'delas', 'dos', 'luz', 'isso', 'desligar', 'isso', 'funcionamento', 'não', 'fechar', 'responsável', 'é', 'o', 'varias', 'vidro', 'para', 'uma', 'faz', 'é', 'como', 'não', 'é', 'são', 'ajuda', 'mais', 'um', 'é', 'do', 'com', 'a', 'nossa', 'nosso']",29-02-2024,08:00,08:13,13.0,"['erro', 'erro', 'classe_correta', 'exata', 'exata', 'exata', 'exata', 'exata', 'aceitavel', 'classe_correta', 'exata', 'exata', 'erro', 'aceitavel', 'exata', 'erro', 'exata', 'exata', 'exata', 'erro', 'exata', 'exata', 'exata', 'exata', 'exata', 'aceitavel', 'exata', 'grafia_incorreta', 'exata', 'classe_correta', 'exata', 'erro', 'erro', 'grafia_incorreta', 'classe_correta', 'exata', 'exata', 'exata']","('exata', 5)","('exata', 3)","('exata', 5)","('exata', 3)",76.316,0.515,57.895,22,2,3,4,7,0
EST_076,8,B,A importância da responsabilidade ambiental,"['meio', 'lutas', 'mundo', 'nessesario', 'de', 'para', 'de', 'dessas', 'dos', 'alimetas', 'todos', 'apagar', 'eletronicos', 'uso', 'sem', 'desperdicio', 'bom', 'é', 'o', '-', '-', '-', '-', 'faz', 'a', 'ao', '-', 'e', 'um', 'pode', 'como', 'o', 'de', 'do', 'de', 'a', 'nossa', 'do']",29-02-2024,08:00,08:15,15.0,"['exata', 'erro', 'aceitavel', 'erro', 'aceitavel', 'exata', 'exata', 'grafia_incorreta', 'aceitavel', 'erro', 'aceitavel', 'aceitavel', 'grafia_incorreta', 'exata', 'erro', 'aceitavel', 'aceitavel', 'exata', 'exata', 'branco', 'branco', 'branco', 'branco', 'exata', 'grafia_incorreta', 'exata', 'branco', 'exata', 'erro', 'aceitavel', 'erro', 'erro', 'erro', 'grafia_incorreta', 'exata', 'exata', 'exata', 'erro']","('exata', 2)","('aceitavel', 2)","('branco', 3)","('erro', 3)",63.158,0.764,31.579,12,4,8,0,9,5
EST_079,8,A,A importância da responsabilidade ambiental,"['meio', 'a', 'lugar', 'uma', 'para', 'para', 'de', 'forma', 'de', 'energia', 'que', 'que', 'e', 'telas', 'não', 'motivo', 'importar', 'é', 'o', 'diferentes', 'alimentos', 'para', 'um', 'faz', 'é', 'ao', 'e', 'pode', 'mas', 'é', 'é', 'responsavel', 'mas', 'da', 'com', 'a', 'a', 'nosso']",29-02-2024,07:56,08:03,7.0,"['exata', 'erro', 'classe_correta', 'exata', 'exata', 'exata', 'exata', 'erro', 'exata', 'exata', 'erro', 'erro', 'erro', 'classe_correta', 'exata', 'classe_correta', 'erro', 'exata', 'exata', 'exata', 'classe_correta', 'exata', 'grafia_incorreta', 'exata', 'exata', 'exata', 'erro', 'erro', 'erro', 'erro', 'erro', 'grafia_incorreta', 'erro', 'erro', 'classe_correta', 'exata', 'erro', 'exata']","('exata', 4)","('erro', 3)","('exata', 3)","('erro', 2)",56.579,0.815,44.737,17,2,0,5,14,0
EST_086,8,A,A importância da responsabilidade ambiental,"['meio', 'é', 'meio', 'ter', 'para', 'para', 'de', 'delas', 'de', 'energia', 'isso', 'desligar', 'ligados', 'uso', 'não', 'precisao', 'responsavel', 'é', 'o', 'variás', 'comidas', 'para', 'uma', 'tem', 'é', 'pois', 'não', 'e', 'por', 'importam', 'mais', 'bom', 'pois', 'do', 'com', 'a', 'nossa', 'nosso']",29-02-2024,07:56,08:07,11.0,"['exata', 'erro', 'erro', 'erro', 'exata', 'exata', 'exata', 'exata', 'exata', 'exata', 'exata', 'exata', 'erro', 'exata', 'exata', 'erro', 'grafia_incorreta', 'exata', 'exata', 'erro', 'classe_correta', 'exata', 'exata', 'classe_correta', 'exata', 'erro', 'exata', 'exata', 'erro', 'aceitavel', 'exata', 'aceitavel', 'erro', 'grafia_incorreta', 'classe_correta', 'exata', 'exata', 'exata']","('exata', 6)","('exata', 2)","('exata', 2)","('exata', 3)",72.368,0.587,57.895,22,2,2,3,9,0
EST_091,8,A,A importância da responsabilidade ambiental,"['mesmo', 'ligação', 'ambiente', 'uma', 'de', 'para', 'de', 'delas', 'dos', 'luz', 'começar', 'desligar', 'eletronicos', 'uso', 'não', 'necessidade', 'melhor', 'é', 'o', 'varías', 'vidro', 'para', 'uma', 'faz', 'é', 'ao', 'não', 'e', 'esses', 'precisa', 'maís', 'responsavel', 'e', 'ao', 'de', 'a', 'nossa', 'nosso']",29-02-2024,07:56,08:12,16.0,"['grafia_incorreta', 'erro', 'aceitavel', 'exata', 'aceitavel', 'exata', 'exata', 'exata', 'aceitavel', 'classe_correta', 'erro', 'exata', 'grafia_incorreta', 'exata', 'exata', 'exata', 'erro', 'exata', 'exata', 'erro', 'exata', 'exata', 'exata', 'exata', 'exata', 'exata', 'exata', 'exata', 'erro', 'aceitavel', 'grafia_incorreta', 'grafia_incorreta', 'erro', 'grafia_incorreta', 'exata', 'exata', 'exata', 'exata']","('exata', 3)","('exata', 3)","('exata', 8)","('exata', 4)",82.895,0.444,57.895,22,5,4,1,6,0
EST_093,8,A,A importância da responsabilidade ambiental,"['meio', 'vem', 'mundo', 'uma', 'para', 'para', 'de', 'forma', 'de', 'energia', 'tambem', 'desligar', 'so', 'utilização', 'também', 'utilizando', 'responsável', 'e', 'o', 'diferentes', 'vridro', 'para', 'uma', 'faz', 'também', 'ao', 'não', 'também', '-', 'fazem', 'limpo', 'responsavel', 'tambem', 'do', 'de', 'a', 'nossa', 'nosso']",29-02-2024,07:56,08:06,10.0,"['exata', 'aceitavel', 'aceitavel', 'exata', 'exata', 'exata', 'exata', 'erro', 'exata', 'exata', 'erro', 'exata', 'erro', 'classe_correta', 'aceitavel', 'erro', 'exata', 'grafia_incorreta', 'exata', 'exata', 'grafia_incorreta', 'exata', 'exata', 'exata', 'erro', 'exata', 'exata', 'erro', 'branco', 'aceitavel', 'erro', 'grafia_incorreta', 'erro', 'grafia_incorreta', 'exata', 'exata', 'exata', 'exata']","('exata', 4)","('exata', 2)","('exata', 3)","('exata', 4)",75.0,0.567,52.632,20,4,4,1,8,1
EST_094,8,B,A importância da responsabilidade ambiental,"['meio', 'prevenção', 'mundo', 'uma', 'de', 'para', 'de', 'forma', 'de', 'energia', 'prevenir', 'apagar', 'elétricos', 'uso', 'são', 'usar', 'responsável', 'é', 'o', 'várias', 'vidro', 'para', 'uma', 'faz', 'é', 'do', 'não', 'e', 'de', 'é', 'ser', 'responsável', 'é', 'do', 'de', 'a', 'nossa', 'nosso']",29-02-2024,08:00,08:16,16.0,"['exata', 'erro', 'aceitavel', 'exata', 'aceitavel', 'exata', 'exata', 'erro', 'exata', 'exata', 'erro', 'aceitavel', 'grafia_incorreta', 'exata', 'grafia_incorreta', 'erro', 'exata', 'exata', 'exata', 'aceitavel', 'exata', 'exata', 'exata', 'exata', 'exata', 'grafia_incorreta', 'exata', 'exata', 'erro', 'erro', 'erro', 'exata', 'erro', 'grafia_incorreta', 'exata', 'exata', 'exata', 'exata']","('exata', 2)","('exata', 3)","('exata', 5)","('exata', 4)",78.947,0.516,57.895,22,4,4,0,8,0
EST_095,8,B,A importância da responsabilidade ambiental,"['meio', 'A', 'mundo', 'uma', 'para', 'a', 'de', 'ideia', 'de', 'energia', 'isso', 'desligar', 'eletricos', 'atividade', 'não', 'utilizar', 'responsavel', 'é', 'o', 'varias', 'vidro', 'para', 'uma', 'faz', 'é', 'ao', 'e', 'e', 'são', 'para', 'bem', 'um', 'pois', 'do', 'com', 'à', 'nossa', 'nosso']",29-02-2024,08:00,08:10,10.0,"['exata', 'erro', 'aceitavel', 'exata', 'exata', 'aceitavel', 'exata', 'erro', 'exata', 'exata', 'exata', 'exata', 'grafia_incorreta', 'classe_correta', 'exata', 'erro', 'grafia_incorreta', 'exata', 'exata', 'erro', 'exata', 'exata', 'exata', 'exata', 'exata', 'exata', 'erro', 'exata', 'exata', 'erro', 'aceitavel', 'erro', 'erro', 'grafia_incorreta', 'classe_correta', 'grafia_incorreta', 'exata', 'exata']","('exata', 2)","('exata', 2)","('exata', 6)","('erro', 2)",76.316,0.536,55.263,21,4,3,2,8,0
EST_096,8,B,A importância da responsabilidade ambiental,"['meio', 'importância', 'lugar', 'uma', 'para', 'para', 'de', 'delas', 'de', 'energia', 'isso', 'desligar', 'para', 'carga', 'não', 'querer', 'previsível', 'é', 'o', 'suas', 'não', 'para', 'uma', 'faz', 'é', 'ao', 'não', 'para', 'esses', 'precisamos', 'mais', 'conciente', 'e', 'do', 'de', 'a', 'a', 'nosso']",29-02-2024,08:00,08:13,13.0,"['exata', 'erro', 'classe_correta', 'exata', 'exata', 'exata', 'exata', 'exata', 'exata', 'exata', 'exata', 'exata', 'erro', 'classe_correta', 'exata', 'erro', 'aceitavel', 'exata', 'exata', 'aceitavel', 'erro', 'exata', 'exata', 'exata', 'exata', 'exata', 'exata', 'erro', 'erro', 'aceitavel', 'exata', 'erro', 'erro', 'grafia_incorreta', 'exata', 'exata', 'erro', 'exata']","('exata', 7)","('exata', 2)","('exata', 6)","('erro', 2)",73.684,0.577,60.526,23,1,3,2,9,0
EST_098,8,B,A importância da responsabilidade ambiental,"['meio', 'cuidar', 'mundo', 'ter', 'para', 'para', 'de', 'delas', 'de', 'energia', 'isso', 'desligada', 'eletronicos', 'uso', 'não', 'nessecidade', 'responsável', 'é', 'cada', 'uma', 'alimentos', 'para', 'uma', 'da', 'é', 'em', 'não', 'o', 'etc', 'ajudam', 'mais', 'responsavel', 'e', 'do', 'de', 'a', 'nossa', 'nosso']",29-02-2024,08:00,08:15,15.0,"['exata', 'exata', 'aceitavel', 'erro', 'exata', 'exata', 'exata', 'exata', 'exata', 'exata', 'exata', 'grafia_incorreta', 'grafia_incorreta', 'exata', 'exata', 'grafia_incorreta', 'exata', 'exata', 'classe_correta', 'aceitavel', 'classe_correta', 'exata', 'exata', 'erro', 'exata', 'aceitavel', 'exata', 'grafia_incorreta', 'erro', 'classe_correta', 'exata', 'grafia_incorreta', 'erro', 'grafia_incorreta', 'exata', 'exata', 'exata', 'exata']","('exata', 6)","('grafia_incorreta', 2)","('exata', 2)","('exata', 4)",85.526,0.377,57.895,22,6,3,3,4,0
EST_099,8,B,A importância da responsabilidade ambiental,"['menos', '-', '-', 'melhor', 'para', 'para', 'de', 'foma', 'dos', 'enegia', 'sabemo', 'apaga', 'hora', 'uso', 'não', 'usa', 'importo', 'é', 'o', 'diferente', 'organico', 'na', 'uma', 'faz', 'é', 'com', 'não', 'para', 'por', 'prejudica', 'é', 'importa', 'como', 'que', 'com', 'a', 'nossa', 'nosso']",29-02-2024,08:00,08:20,20.0,"['grafia_incorreta', 'branco', 'branco', 'erro', 'exata', 'exata', 'exata', 'erro', 'aceitavel', 'grafia_incorreta', 'erro', 'aceitavel', 'classe_correta', 'exata', 'exata', 'erro', 'erro', 'exata', 'exata', 'grafia_incorreta', 'classe_correta', 'classe_correta', 'exata', 'exata', 'exata', 'classe_correta', 'exata', 'erro', 'erro', 'aceitavel', 'erro', 'erro', 'erro', 'erro', 'classe_correta', 'exata', 'exata', 'exata']","('exata', 3)","('exata', 2)","('exata', 3)","('erro', 4)",59.211,0.771,36.842,14,3,3,5,11,2
EST_107,8,B,A importância da responsabilidade ambiental,"['meio', 'cuidar', 'planeta', 'uma', 'para', 'para', 'de', 'delas', 'de', 'energia', 'isso', 'desligar', 'eletronicos', 'uso', 'não', 'necessidade', 'responsavel', 'é', 'o', 'algumas', 'vidro', 'para', 'uma', 'faz', 'é', 'ao', 'não', 'e', 'são', 'tomamos', 'mais', 'responsavel', 'devemos', 'do', 'de', 'à', 'nossa', 'nosso']",29-02-2024,08:00,08:08,8.0,"['exata', 'exata', 'exata', 'exata', 'exata', 'exata', 'exata', 'exata', 'exata', 'exata', 'exata', 'exata', 'grafia_incorreta', 'exata', 'exata', 'exata', 'grafia_incorreta', 'exata', 'exata', 'aceitavel', 'exata', 'exata', 'exata', 'exata', 'exata', 'exata', 'exata', 'exata', 'exata', 'aceitavel', 'exata', 'grafia_incorreta', 'aceitavel', 'grafia_incorreta', 'exata', 'grafia_incorreta', 'exata', 'exata']","('exata', 10)","('exata', 3)","('exata', 9)","('exata', 2)",100.0,0.0,78.947,30,5,3,0,0,0
