discente,escola,ano,turma,texto,respostas,correcao_humana,tempo_inicial,tempo_final,pontuacao,correcao,exata,grafia_incorreta,aceitavel,classe_correta,erro,branco,compreensao
EST_01,CODAP,6,A,Lembranças do passado,"['dava', 'tinha', 'tinhamos', 'fomos', 'estava', 'fazia', 'era', 'era', 'íamos', 'até', 'anoitecia', 'acontecia', 'via', 'acendiam', 'fazia', 'ouvia', 'era', 'amava', 'que', 'era', 'meio', 'da', 'era', 'era', '-', 'tinha', 'esta', 'tinha', 'boas', 'ajudamos', 'tudo', 'era', 'tecnologia', 'gostava', 'tenho']","['mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', '-', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', '-', 'mesma classe e campo semântico diferente', '-', '-', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', '-', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', '-', 'mesma classe e campo semântico diferente', '-', 'mesma classe e mesmo campo semântico', '-', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico']",08:09,08:18,"[1.0, 1.0, 0.5, 1.0, 0.5, 0.5, 1.0, 1.0, 1.0, 0.0, 1.0, 0.5, 0.5, 0.5, 0.5, 1.0, 1.0, 0.5, 0.0, 0.5, 0.0, 0.0, 0.5, 1.0, 0.0, 0.5, 0.5, 0.5, 0.0, 0.5, 0.0, 1.0, 0.0, 1.0, 0.5]","['aceitavel', 'aceitavel', 'classe_correta', 'aceitavel', 'classe_correta', 'classe_correta', 'exata', 'exata', 'aceitavel', 'erro', 'aceitavel', 'classe_correta', 'classe_correta', 'classe_correta', 'classe_correta', 'exata', 'aceitavel', 'classe_correta', 'erro', 'classe_correta', 'erro', 'erro', 'classe_correta', 'exata', 'branco', 'classe_correta', 'classe_correta', 'classe_correta', 'erro', 'classe_correta', 'erro', 'exata', 'erro', 'aceitavel', 'classe_correta']",5,0,7,15,7,1,55.714
EST_02,CODAP,6,B,Lembranças do passado,"['carro', 'tirava', 'de', 'eu', 'de', 'pasava', 'era', 'era', 'brica', 'e', 'acotesia', 'egrosa', 'acabava', 'apagava', 'parava', 'dia', 'da', 'ficamu', 'foi', 'adavam', 'sorriu', 'ficou', 'aconteceram', 'de', 'tem', 'evoluiu', 'coisas', 'também', 'gosto', 'a', 'Brasil', 'qual', 'de', 'não', 'mas']","['-', 'mesma classe e campo semântico diferente', '-', '-', '-', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', '-', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', '-', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', '-', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', '-', '-', 'mesma classe e campo semântico diferente', '-', '-', '-', '-', '-', '-']",08:00,08:16,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.5, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 1.0, 0.5, 0.5, 0.5, 0.5, 0.0, 0.5, 0.5, 0.5, 0.0, 0.5, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['erro', 'aceitavel', 'erro', 'erro', 'erro', 'classe_correta', 'exata', 'exata', 'erro', 'erro', 'erro', 'erro', 'classe_correta', 'classe_correta', 'classe_correta', 'erro', 'erro', 'erro', 'aceitavel', 'classe_correta', 'classe_correta', 'classe_correta', 'classe_correta', 'erro', 'classe_correta', 'classe_correta', 'classe_correta', 'erro', 'classe_correta', 'grafia_incorreta', 'erro', 'erro', 'erro', 'erro', 'erro']",2,1,2,12,18,0,31.429
EST_03,CODAP,6,A,Lembranças do passado,"['trabalhava', 'é', 'o', 'a', 'tem', 'solta', 'era', 'era', 'brincavamos', 'era', 'faltava', 'faltava', 'caia', 'e', 'falava', 'escutava', 'é', 'teve', 'era', 'eram', 'são', 'é', 'eram', 'era', 'tinha', 'compraram', 'e', 'as', 'eram', 'e', 'é', 'era', 'eram', 'era', 'são']","['mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', '-', '-', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', '-', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', '-', '-', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico']",08:09,08:24,"[1.0, 0.5, 0.0, 0.0, 0.5, 1.0, 1.0, 1.0, 1.0, 0.5, 0.5, 0.5, 0.5, 0.0, 0.5, 1.0, 1.0, 0.5, 0.5, 0.5, 0.5, 0.5, 1.0, 1.0, 0.5, 1.0, 0.0, 0.0, 0.5, 1.0, 0.5, 1.0, 0.5, 0.5, 1.0]","['exata', 'classe_correta', 'erro', 'erro', 'classe_correta', 'aceitavel', 'exata', 'exata', 'grafia_incorreta', 'classe_correta', 'classe_correta', 'classe_correta', 'classe_correta', 'erro', 'classe_correta', 'aceitavel', 'aceitavel', 'classe_correta', 'classe_correta', 'classe_correta', 'classe_correta', 'classe_correta', 'aceitavel', 'exata', 'classe_correta', 'grafia_incorreta', 'erro', 'erro', 'classe_correta', 'grafia_incorreta', 'classe_correta', 'exata', 'classe_correta', 'classe_correta', 'aceitavel']",5,3,5,17,5,0,61.429
EST_04,CODAP,6,B,Lembranças do passado,"['trabalhava', 'gastava', 'o', 'viagar', 'mas', 'tem', 'é', 'é', 'paseamos', 'é', 'é', 'que', 'tem', 'é', 'tem', 'a', 'da', 'feliz', 'foram', 'foram', 'tambem', 'foi', 'pela', 'é', 'tem', 'ficarem', 'ricos', 'tem', 'ficam', 'estas', 'do', 'é', 'patria', 'não', 'sera']","['mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', '-', 'mesma classe e campo semântico diferente', '-', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', '-', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', '-', 'mesma classe e campo semântico diferente', '-', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', '-', 'mesma classe e campo semântico diferente', '-', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', '-', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', '-', 'mesma classe e mesmo campo semântico', '-', '-', 'mesma classe e mesmo campo semântico']",08:00,08:31,"[1.0, 1.0, 0.0, 0.5, 0.0, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.0, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 1.0, 0.5, 0.0, 0.5, 0.0, 1.0, 0.5, 0.5, 0.5, 0.5, 0.5, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0]","['exata', 'grafia_incorreta', 'erro', 'classe_correta', 'erro', 'classe_correta', 'classe_correta', 'classe_correta', 'classe_correta', 'classe_correta', 'classe_correta', 'erro', 'classe_correta', 'classe_correta', 'classe_correta', 'erro', 'erro', 'erro', 'exata', 'classe_correta', 'erro', 'classe_correta', 'erro', 'aceitavel', 'classe_correta', 'classe_correta', 'classe_correta', 'classe_correta', 'classe_correta', 'erro', 'erro', 'classe_correta', 'erro', 'erro', 'erro']",2,1,1,18,13,0,37.143
EST_05,CODAP,6,B,Lembranças do passado,"['trabalhava', 'fazia', 'o', 'suficiente', 'quando', 'a', 'era', 'era', 'brincava', 'acaba', 'acende', 'é', 'acaba', 'também', 'eletrico', 'é', 'era', 'queria', 'era', 'anda', 'sai', 'que', 'é', 'é', 'tem', 'acontece', 'lançadas', 'tem', 'acho', 'muita', 'raiva', 'é', 'trazer', 'falo', 'é']","['mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', '-', '-', '-', '-', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', '-', '-', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', '-', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', '-', '-', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico']",08:00,08:26,"[1.0, 0.5, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.5, 0.5, 0.5, 0.5, 0.0, 0.0, 0.5, 1.0, 0.5, 0.5, 0.5, 0.5, 0.0, 0.5, 1.0, 0.5, 0.5, 0.0, 0.5, 0.5, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5]","['exata', 'classe_correta', 'erro', 'erro', 'erro', 'erro', 'exata', 'exata', 'aceitavel', 'classe_correta', 'classe_correta', 'classe_correta', 'classe_correta', 'erro', 'erro', 'classe_correta', 'aceitavel', 'classe_correta', 'classe_correta', 'classe_correta', 'classe_correta', 'erro', 'classe_correta', 'aceitavel', 'classe_correta', 'classe_correta', 'erro', 'classe_correta', 'classe_correta', 'erro', 'erro', 'classe_correta', 'classe_correta', 'classe_correta', 'classe_correta']",3,0,3,19,10,0,44.286
EST_06,CODAP,6,A,Lembranças do passado,"['trabalhava', 'ganhava', 'ssobrava', 'viajava', 'era', 'ssaia', 'era', 'era', 'brimcavamos', 'assendia', 'escurecia', 'melhorou', 'chegou', 'ssubistuirão', 'tocava', 'escutavão', 'foi', 'gostou', 'forão', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","['mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']",08:09,08:27,"[1.0, 1.0, 0.5, 0.5, 0.5, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.5, 0.5, 0.0, 1.0, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['exata', 'exata', 'classe_correta', 'classe_correta', 'classe_correta', 'erro', 'exata', 'exata', 'grafia_incorreta', 'erro', 'exata', 'aceitavel', 'exata', 'classe_correta', 'classe_correta', 'erro', 'exata', 'classe_correta', 'classe_correta', 'branco', 'branco', 'branco', 'branco', 'branco', 'branco', 'branco', 'branco', 'branco', 'branco', 'branco', 'branco', 'branco', 'branco', 'branco', 'branco']",7,1,1,7,3,16,35.714
EST_07,CODAP,6,B,Lembranças do passado,"['trabalhava', 'trabalhava', 'ganhava', 'fomos', 'que', 'tem', 'é', 'é', 'fomos', 'estava', 'eu', 'aconteceu', 'veio', 'estouraram', 'funcionou', 'era', 'foram', 'viu', 'a', 'fumcionam', 'estão', 'carmopolis', 'maravilhosas', 'esta', 'sofre', 'eu', 'ela', 'odiei', 'atrasam', 'são', 'é', 'é', 'tem', 'gosto', 'são']","['mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', '-', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', '-', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', '-', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', '-', '-', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', '-', '-', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico']",08:00,08:26,"[1.0, 1.0, 0.5, 1.0, 0.0, 0.5, 0.5, 0.5, 0.5, 1.0, 0.0, 1.0, 1.0, 0.5, 0.5, 0.5, 1.0, 1.0, 0.0, 0.5, 0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.5, 0.5, 1.0, 0.5, 0.5, 0.5, 1.0, 1.0]","['exata', 'aceitavel', 'classe_correta', 'aceitavel', 'erro', 'classe_correta', 'classe_correta', 'classe_correta', 'classe_correta', 'aceitavel', 'erro', 'aceitavel', 'aceitavel', 'classe_correta', 'classe_correta', 'classe_correta', 'aceitavel', 'exata', 'erro', 'classe_correta', 'classe_correta', 'erro', 'erro', 'erro', 'classe_correta', 'erro', 'erro', 'classe_correta', 'classe_correta', 'aceitavel', 'classe_correta', 'classe_correta', 'classe_correta', 'exata', 'aceitavel']",3,0,8,16,8,0,54.286
EST_08,CODAP,6,A,Lembranças do passado,"['muito', 'e', 'o', '-', '-', 'souta', 'e', 'e', 'sentamos', 'acende', 'chegamos', 'acontece', 'acaba', 'e', 'passa', 'as', 'teve', 'adimerou', 'e', 'adimiramos', 'vão', 'onde', 'e', 'e', 'acontece', '-', '-', 'e', '-', '-', '-', '-', '-', '-', '-']","['-', '-', '-', '-', '-', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', '-', 'mesma classe e campo semântico diferente', '-', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', '-', '-', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']",08:09,08:24,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5, 0.5, 0.0, 0.5, 0.0, 1.0, 0.5, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['erro', 'erro', 'erro', 'branco', 'branco', 'erro', 'erro', 'erro', 'classe_correta', 'classe_correta', 'classe_correta', 'classe_correta', 'classe_correta', 'erro', 'classe_correta', 'erro', 'aceitavel', 'classe_correta', 'erro', 'erro', 'classe_correta', 'erro', 'erro', 'erro', 'classe_correta', 'branco', 'branco', 'erro', 'branco', 'branco', 'branco', 'branco', 'branco', 'branco', 'branco']",0,0,1,9,14,11,15.714
EST_09,CODAP,6,B,Lembranças do passado,"['muito', 'trabalhava', 'o', '-', 'ir', 'soltava', 'era', 'era', 'brincavamos', 'aparecia', 'noite', 'acontecia', 'acabava', 'substuiram', 'acabou', 'assistia', 'era', 'ia', 'eram', 'eram', 'sumiram', 'mudou', 'aconteciam', 'era', 'tinha', 'trabalhace', 'locuras', 'modou', 'perceberam', 'São Paulo', 'creceu', 'virou', 'causou', 'gostava', 'perteciam']","['-', 'mesma classe e campo semântico diferente', '-', '-', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', '-', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', '-', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', '-', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente']",08:00,08:21,"[0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.5, 0.0, 0.5, 0.5, 1.0, 0.5, 1.0, 1.0, 0.5, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 0.5, 0.5, 0.5, 0.5, 0.5, 0.0, 1.0, 0.5, 1.0, 1.0, 0.0]","['erro', 'aceitavel', 'erro', 'branco', 'aceitavel', 'exata', 'exata', 'exata', 'grafia_incorreta', 'classe_correta', 'erro', 'classe_correta', 'classe_correta', 'grafia_incorreta', 'classe_correta', 'aceitavel', 'aceitavel', 'classe_correta', 'aceitavel', 'classe_correta', 'aceitavel', 'exata', 'aceitavel', 'exata', 'classe_correta', 'classe_correta', 'classe_correta', 'classe_correta', 'classe_correta', 'erro', 'grafia_incorreta', 'classe_correta', 'exata', 'aceitavel', 'erro']",6,3,8,12,5,1,65.714
EST_10,CODAP,6,A,Lembranças do passado,"['trabalhava', 'recebia', '-', 'trabalhava', 'era', 'balansavam', 'era', 'era', 'brincavamos', 'passava', 'entardecia', 'acontecia', 'faltava', 'e', '-', '-', 'era', 'queria', '-', '-', '-', '-', '-', 'era', 'usava', '-', '-', '-', '-', '-', '-', 'dava', 'tinha', '-', 'tenho']","['mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', '-', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', '-', '-', '-', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', '-', '-', '-', '-', '-', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', '-', '-', '-', '-', '-', '-', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', '-', 'mesma classe e mesmo campo semântico']",08:09,08:30,"[1.0, 1.0, 0.0, 0.5, 0.5, 0.5, 1.0, 1.0, 1.0, 1.0, 0.0, 0.5, 0.5, 0.0, 0.0, 0.0, 1.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.5, 0.0, 0.5]","['exata', 'aceitavel', 'branco', 'classe_correta', 'classe_correta', 'classe_correta', 'exata', 'exata', 'grafia_incorreta', 'exata', 'erro', 'classe_correta', 'classe_correta', 'erro', 'branco', 'branco', 'aceitavel', 'classe_correta', 'branco', 'branco', 'branco', 'branco', 'branco', 'exata', 'classe_correta', 'branco', 'branco', 'branco', 'branco', 'branco', 'branco', 'aceitavel', 'classe_correta', 'branco', 'classe_correta']",5,1,3,9,2,15,38.571
