discente,ano,turma,texto,respostas,data,tempo_inicial,tempo_final,duracao,correcao,quadrante_1,quadrante_2,quadrante_3,quadrante_4,compreensao,coeficiente_variacao,taxa_exatas,exata,grafia_incorreta,aceitavel,classe_correta,erro,branco
EST_008,6,B,O uso dos celulares por crianças,"['Brinca', 'jogos', 'Bom', 'do', 'para', 'ter', 'brincadeiras', 'também', 'importa', 'celular', 'de', 'filhos', 'casa', 'são', 'brincadeiras', 'mal', 'dor', 'e', 'tempo', 'os', 'aparelho', 'as', 'da', 'o', 'internet', 'tem', 'aplicativo', 'e', 'a', 'as', 'aplicativo', 'a', 'Bem', 'é', 'com', 'precisa', 'do', 'ter']",29-02-2024,08:00,08:13,13.0,"['erro', 'aceitavel', 'erro', 'exata', 'exata', 'classe_correta', 'erro', 'erro', 'erro', 'exata', 'erro', 'exata', 'exata', 'exata', 'classe_correta', 'erro', 'classe_correta', 'grafia_incorreta', 'classe_correta', 'classe_correta', 'aceitavel', 'exata', 'exata', 'erro', 'erro', 'erro', 'aceitavel', 'erro', 'exata', 'erro', 'aceitavel', 'exata', 'classe_correta', 'erro', 'erro', 'aceitavel', 'grafia_incorreta', 'classe_correta']","('erro', 3)","('exata', 3)","('erro', 3)","('erro', 2)",53.947,0.834,26.316,10,2,5,7,14,0
EST_015,6,A,O uso dos celulares por crianças,"['hoje', 'riscos', 'por', 'do', 'para', 'acesar', 'que', 'se', 'estão', 'celular', 'uma', 'filhos', 'casa', 'são', 'usar', 'danos', 'dor', 'problema', 'risco', '-', 'uso', 'as', 'da', 'pessoas', 'comteudos', 'responsabilidade', '-', 'usados', 'a', 'olhar', 'pessoas', 'a', 'no', 'pode', 'que', 'presisão', 'o', 'melhorar']",29-02-2024,08:03,08:27,24.0,"['erro', 'aceitavel', 'exata', 'exata', 'exata', 'grafia_incorreta', 'exata', 'exata', 'exata', 'exata', 'exata', 'exata', 'exata', 'exata', 'grafia_incorreta', 'classe_correta', 'classe_correta', 'erro', 'classe_correta', 'branco', 'classe_correta', 'exata', 'exata', 'erro', 'grafia_incorreta', 'erro', 'branco', 'exata', 'exata', 'aceitavel', 'aceitavel', 'exata', 'erro', 'exata', 'erro', 'erro', 'exata', 'aceitavel']","('exata', 4)","('exata', 4)","('exata', 2)","('aceitavel', 2)",71.053,0.596,47.368,18,3,4,4,7,2
EST_018,6,A,O uso dos celulares por crianças,"['mas', 'demais', 'de', 'de', 'para', 'ver', 'que', 'se', 'estão', 'celular', 'uma', 'filhos', 'serie', 'são', 'uso', 'problemas', 'dor', 'como', 'uso', 'regras', 'uso', 'as', 'da', 'pessoas', 'sites', 'e', 'possuir', 'e', 'a', 'as', 'aplicativos', 'a', 'com', 'pode', 'necessário', 'devem', 'o', 'a']",29-02-2024,08:03,08:17,14.0,"['aceitavel', 'erro', 'classe_correta', 'grafia_incorreta', 'exata', 'aceitavel', 'exata', 'exata', 'exata', 'exata', 'exata', 'exata', 'aceitavel', 'exata', 'exata', 'exata', 'classe_correta', 'aceitavel', 'aceitavel', 'erro', 'classe_correta', 'exata', 'exata', 'erro', 'classe_correta', 'erro', 'erro', 'erro', 'exata', 'erro', 'aceitavel', 'exata', 'erro', 'exata', 'aceitavel', 'exata', 'exata', 'erro']","('exata', 4)","('exata', 3)","('erro', 3)","('exata', 2)",71.053,0.596,44.737,17,1,7,4,9,0
EST_023,6,B,O uso dos celulares por crianças,"['mais', 'perigo', '-', 'do', 'para', 'ver', 'e', 'permite', 'estão', 'dispositivo', 'novas', 'filhos', 'controle', 'são', '-', 'problemas', 'dor', 'e', 'isolamento', 'a', '-', 'as', 'da', 'amigo', 'coisas', '-', '-', 'improprios', '-', '-', '-', 'a', 'e', 'pode', 'para', 'tem', 'o', 'boua']",29-02-2024,08:00,08:30,30.0,"['erro', 'aceitavel', 'branco', 'exata', 'exata', 'aceitavel', 'erro', 'erro', 'exata', 'classe_correta', 'erro', 'exata', 'aceitavel', 'exata', 'branco', 'exata', 'classe_correta', 'grafia_incorreta', 'exata', 'erro', 'branco', 'exata', 'exata', 'erro', 'aceitavel', 'branco', 'branco', 'erro', 'branco', 'branco', 'branco', 'exata', 'erro', 'exata', 'erro', 'classe_correta', 'exata', 'erro']","('exata', 2)","('erro', 1)","('exata', 2)","('branco', 2)",48.684,0.985,31.579,12,1,4,3,10,8
EST_024,6,A,O uso dos celulares por crianças,"['proximos', 'amigos', 'parentes', 'do', 'para', 'ver', 'legais', 'para', 'moram', 'celular', 'para', 'celulares', 'casa', 'não', 'celular', 'ploblemas', 'dor', 'na', 'educação', 'os', 'plomema', 'as', 'da', 'o', 'sites', 'devem', 'sites', 'que', 'a', 'as', 'pessoas', 'a', 'do', 'pode', 'tem', 'tem', 'o', 'a']",29-02-2024,08:03,08:24,21.0,"['erro', 'aceitavel', 'erro', 'exata', 'exata', 'aceitavel', 'erro', 'erro', 'erro', 'exata', 'erro', 'aceitavel', 'exata', 'grafia_incorreta', 'aceitavel', 'grafia_incorreta', 'classe_correta', 'classe_correta', 'classe_correta', 'classe_correta', 'aceitavel', 'exata', 'exata', 'erro', 'classe_correta', 'erro', 'classe_correta', 'erro', 'exata', 'erro', 'aceitavel', 'exata', 'erro', 'exata', 'erro', 'classe_correta', 'exata', 'erro']","('erro', 3)","('classe_correta', 4)","('exata', 2)","('erro', 1)",56.579,0.79,26.316,10,2,6,7,13,0
EST_026,6,B,O uso dos celulares por crianças,"['e', 'livros', 'por', 'do', 'para', 'assistir', 'celular', 'ajudam', 'estão', 'celular', 'uma', 'filhos', 'casa', 'são', 'tela', 'problemas', 'dor', 'de', 'rede', 'com', 'perigos', 'as', 'a', 'rede', '-', 'das', 'filho', 'ruim', 'a', 'outro', 'negocios', 'as', 'celular', 'pode', 'possivel', 'tem', 'o', 'segurança']",29-02-2024,08:00,08:22,22.0,"['classe_correta', 'classe_correta', 'exata', 'exata', 'exata', 'aceitavel', 'erro', 'erro', 'exata', 'exata', 'exata', 'exata', 'exata', 'exata', 'classe_correta', 'exata', 'classe_correta', 'exata', 'aceitavel', 'erro', 'aceitavel', 'exata', 'grafia_incorreta', 'erro', 'branco', 'erro', 'aceitavel', 'erro', 'exata', 'erro', 'aceitavel', 'grafia_incorreta', 'erro', 'exata', 'aceitavel', 'classe_correta', 'exata', 'erro']","('exata', 3)","('exata', 4)","('aceitavel', 1)","('erro', 1)",67.105,0.646,39.474,15,2,6,5,9,1
EST_036,6,B,O uso dos celulares por crianças,"['mais', 'benefícios', 'tem', 'de', 'para', 'ver', 'que', 'se', 'estão', 'uso', 'de', 'filhos', 'hora', 'são', 'uso', 'defeitos', 'dor', 'como', 'ante', 'os', 'uso', 'todas', 'da', 'desconhecidos', 'saites', 'delas', 'uso', 'usados', 'a', 'todas', 'perigos', 'essa', 'Porém', 'pode', 'importante', 'podem', 'o', 'toda']",29-02-2024,08:00,08:24,24.0,"['erro', 'aceitavel', 'erro', 'grafia_incorreta', 'exata', 'aceitavel', 'exata', 'exata', 'exata', 'aceitavel', 'erro', 'exata', 'classe_correta', 'exata', 'exata', 'aceitavel', 'classe_correta', 'aceitavel', 'erro', 'classe_correta', 'classe_correta', 'classe_correta', 'exata', 'erro', 'aceitavel', 'erro', 'classe_correta', 'exata', 'exata', 'erro', 'aceitavel', 'erro', 'erro', 'exata', 'exata', 'classe_correta', 'exata', 'erro']","('exata', 3)","('exata', 2)","('classe_correta', 2)","('erro', 2)",64.474,0.664,34.211,13,1,7,7,10,0
EST_038,6,A,O uso dos celulares por crianças,"['-', '-', '-', '-', '-', '-', '-', '-', '-', 'celular', '-', '-', '-', '-', '-', '-', 'dor', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', 'a', '-', '-', '-', '-', '-', '-']",29-02-2024,08:03,08:11,8.0,"['branco', 'branco', 'branco', 'branco', 'branco', 'branco', 'branco', 'branco', 'branco', 'exata', 'branco', 'branco', 'branco', 'branco', 'branco', 'branco', 'classe_correta', 'branco', 'branco', 'branco', 'branco', 'branco', 'branco', 'branco', 'branco', 'branco', 'branco', 'branco', 'branco', 'branco', 'branco', 'exata', 'branco', 'branco', 'branco', 'branco', 'branco', 'branco']","('branco', 9)","('branco', 6)","('branco', 9)","('branco', 6)",6.579,3.561,5.263,2,0,0,1,0,35
EST_048,6,A,O uso dos celulares por crianças,"['e', 'livros', 'de', 'de', 'para', 'conhecer', 'que', 'conseguir', 'são', 'celular', 'uma', 'aparelhos', 'casa', 'serão', 'telas', 'problemas', 'dor', 'e', 'problema', 'os', 'conteúdo', 'as', 'na', 'desconhecidos', 'links', 'precisam', 'acesso', 'acessam', 'a', 'ver', 'públicos', 'a', 'e', 'podem', 'preciso', 'precisam', 'o', 'ter']",29-02-2024,08:03,08:16,13.0,"['classe_correta', 'classe_correta', 'classe_correta', 'grafia_incorreta', 'exata', 'aceitavel', 'exata', 'erro', 'classe_correta', 'exata', 'exata', 'aceitavel', 'exata', 'grafia_incorreta', 'classe_correta', 'exata', 'classe_correta', 'grafia_incorreta', 'classe_correta', 'classe_correta', 'aceitavel', 'exata', 'grafia_incorreta', 'erro', 'classe_correta', 'erro', 'aceitavel', 'classe_correta', 'exata', 'grafia_incorreta', 'erro', 'exata', 'erro', 'grafia_incorreta', 'aceitavel', 'aceitavel', 'exata', 'classe_correta']","('classe_correta', 3)","('classe_correta', 2)","('aceitavel', 1)","('aceitavel', 2)",72.368,0.494,26.316,10,6,6,11,5,0
EST_051,6,A,O uso dos celulares por crianças,"['e', '-', '-', 'do', '-', 'ver', '-', '-', '-', 'celular', '-', 'filhos', 'casa', '-', '-', '-', '-', '-', '-', 'os', 'aplicativo', 'as', 'da', '-', 'sites', 'pode', '-', 'impróprios', 'a', '-', '-', 'a', '-', 'pode', '-', 'podem', 'o', 'manter']",29-02-2024,08:03,08:22,19.0,"['classe_correta', 'branco', 'branco', 'exata', 'branco', 'aceitavel', 'branco', 'branco', 'branco', 'exata', 'branco', 'exata', 'exata', 'branco', 'branco', 'branco', 'branco', 'branco', 'branco', 'classe_correta', 'aceitavel', 'exata', 'exata', 'branco', 'classe_correta', 'erro', 'branco', 'erro', 'exata', 'branco', 'branco', 'exata', 'branco', 'exata', 'branco', 'classe_correta', 'exata', 'classe_correta']","('branco', 3)","('branco', 6)","('exata', 2)","('branco', 2)",38.158,1.181,26.316,10,0,2,5,2,19
