discente,ano,turma,texto,respostas,data,tempo_inicial,tempo_final,duracao,correcao,quadrante_1,quadrante_2,quadrante_3,quadrante_4,compreensao,coeficiente_variacao,taxa_exatas,exata,grafia_incorreta,aceitavel,classe_correta,erro,branco
EST_002,7,B,Inseguranças no uso das redes sociais,"['melhora', 'Facilidade', 'todo', 'o', 'desgraças', 'principais', 'E', 'pessoais', 'pessoas', 'são', 'sendo', 'muita', 'divulgação', 'arquivos', 'preocupação', 'informações', 'de', 'redes', 'conseguem', 'verdade', 'Isso', 'e', 'de', 'locais', 'sociais', 'mudança', 'Medos', 'ter', 'redes', 'depressão', 'com', 'de', 'pelos', 'informações', 'devem', 'uso', 'as']",29-02-2024,07:55,08:28,33.0,"['aceitavel', 'aceitavel', 'exata', 'classe_correta', 'aceitavel', 'exata', 'erro', 'exata', 'aceitavel', 'exata', 'exata', 'aceitavel', 'aceitavel', 'aceitavel', 'exata', 'exata', 'exata', 'exata', 'grafia_incorreta', 'grafia_incorreta', 'exata', 'exata', 'classe_correta', 'aceitavel', 'exata', 'aceitavel', 'aceitavel', 'aceitavel', 'exata', 'exata', 'exata', 'exata', 'erro', 'aceitavel', 'aceitavel', 'exata', 'grafia_incorreta']","('aceitavel', 2)","('exata', 4)","('aceitavel', 3)","('exata', 4)",91.892,0.269,45.946,17,3,13,2,2,0
EST_003,7,A,Inseguranças no uso das redes sociais,"['tecnologia', '-', '-', 'o', 'dificuldade', 'muitas', 'e', 'pessoais', 'coisas', 'seram', 'sendo', 'muita', 'vasação', '-', 'coisa', 'informações', 'de', 'redes', 'conseguimos', 'verdeiro', 'mais', 'é', '-', '-', 'publicas', 'atividade', '-', 'ter', 'redes', 'depresão', 'com', 'de', 'por', 'atividades', 'devem', 'assunto', 'nas']",29-02-2024,08:03,08:25,22.0,"['aceitavel', 'branco', 'branco', 'classe_correta', 'aceitavel', 'erro', 'erro', 'exata', 'aceitavel', 'erro', 'exata', 'aceitavel', 'aceitavel', 'branco', 'aceitavel', 'exata', 'exata', 'exata', 'exata', 'grafia_incorreta', 'erro', 'grafia_incorreta', 'branco', 'branco', 'aceitavel', 'classe_correta', 'branco', 'aceitavel', 'exata', 'grafia_incorreta', 'exata', 'exata', 'erro', 'aceitavel', 'aceitavel', 'classe_correta', 'grafia_incorreta']","('branco', 2)","('exata', 4)","('branco', 2)","('exata', 2)",66.216,0.681,24.324,9,4,10,3,5,6
EST_006,7,A,Inseguranças no uso das redes sociais,"['capacidade', 'rapides', 'todo', 'com', 'desgraças', 'grandes', 'pelo', 'privados', 'vezes', 'forão', 'sendo', 'muita', 'propagação', 'senhas', 'situação', 'notícias', 'de', 'redes', 'podendo', 'real', 'isso', 'e', 'de', 'autoridades', 'sociais', 'onda', 'falhas', 'ter', 'redes', 'depressão', 'com', 'de', 'pelas', 'informações', 'podem', 'uso', 'das']",29-02-2024,08:03,08:24,21.0,"['grafia_incorreta', 'aceitavel', 'exata', 'erro', 'aceitavel', 'aceitavel', 'classe_correta', 'erro', 'exata', 'erro', 'exata', 'aceitavel', 'aceitavel', 'exata', 'aceitavel', 'aceitavel', 'exata', 'exata', 'classe_correta', 'erro', 'exata', 'exata', 'classe_correta', 'aceitavel', 'exata', 'classe_correta', 'aceitavel', 'aceitavel', 'exata', 'exata', 'exata', 'exata', 'erro', 'aceitavel', 'classe_correta', 'exata', 'exata']","('aceitavel', 2)","('aceitavel', 2)","('exata', 2)","('exata', 4)",79.73,0.448,40.541,15,1,11,5,5,0
EST_009,7,B,Inseguranças no uso das redes sociais,"['função', 'função', 'nosso', 'o', 'mudanças', 'muitas', 'e', 'também', 'coisas', 'serão', 'sendo', 'muita', 'rede', 'conversas', 'preocupação', 'coisas', 'de', '-', 'é', 'verdadeiro', 'e', 'ou', 'da', 'preoculpação', 'sociais', 'coisas', 'brigas', 'ter', 'redes', 'depressão', 'com', 'tem', 'com', 'informações', 'não', 'dever', 'muitas']",29-02-2024,07:55,08:20,25.0,"['classe_correta', 'classe_correta', 'aceitavel', 'classe_correta', 'aceitavel', 'erro', 'erro', 'erro', 'aceitavel', 'grafia_incorreta', 'exata', 'aceitavel', 'classe_correta', 'aceitavel', 'exata', 'aceitavel', 'exata', 'branco', 'erro', 'exata', 'erro', 'aceitavel', 'classe_correta', 'aceitavel', 'exata', 'aceitavel', 'aceitavel', 'aceitavel', 'exata', 'exata', 'exata', 'erro', 'erro', 'aceitavel', 'erro', 'erro', 'erro']","('erro', 3)","('exata', 1)","('aceitavel', 3)","('exata', 3)",63.514,0.701,21.622,8,1,12,5,10,1
EST_014,7,A,Inseguranças no uso das redes sociais,"['forma', 'forma', 'todo', 'nosso', 'diversões', 'diversos', 'entretanto', 'privados', 'vezes', 'são', 'sendo', 'diversas', '-', '-', 'coisa', 'informações', 'de', 'redes', 'podemos', 'verdadeiro', 'isso', 'com', 'de', '-', 'sociais', 'forma', 'sentimentos', 'ser', 'redes', 'depressão', 'com', 'de', '-', 'informações', '-', '-', '-']",29-02-2024,08:03,08:28,25.0,"['classe_correta', 'classe_correta', 'exata', 'aceitavel', 'aceitavel', 'aceitavel', 'erro', 'erro', 'exata', 'exata', 'exata', 'aceitavel', 'branco', 'branco', 'aceitavel', 'exata', 'exata', 'exata', 'aceitavel', 'exata', 'exata', 'erro', 'classe_correta', 'branco', 'exata', 'classe_correta', 'aceitavel', 'erro', 'exata', 'exata', 'exata', 'exata', 'branco', 'aceitavel', 'branco', 'branco', 'branco']","('aceitavel', 3)","('exata', 3)","('exata', 2)","('exata', 4)",64.865,0.691,37.838,14,0,8,4,4,7
EST_021,7,B,Inseguranças no uso das redes sociais,"['ação', 'facilidade', 'todo', 'esse', 'dificuldade', 'muitas', 'como', 'usado', 'vezes', 'são', 'sendo', 'uma', 'coleta', 'dados', 'preocupação', 'contas', 'no', 'redes', 'sabemos', 'verdadeiro', 'as', 'graves', 'de', 'jovens', 'sociais', 'sensação', 'traumas', 'buscar', 'redes', 'depressão', 'com', 'de', 'por', 'dados', 'devem', 'perigo', 'falsas']",29-02-2024,07:55,08:15,20.0,"['aceitavel', 'aceitavel', 'exata', 'exata', 'aceitavel', 'erro', 'grafia_incorreta', 'erro', 'exata', 'exata', 'exata', 'exata', 'aceitavel', 'aceitavel', 'exata', 'aceitavel', 'aceitavel', 'exata', 'aceitavel', 'exata', 'erro', 'erro', 'classe_correta', 'aceitavel', 'exata', 'exata', 'aceitavel', 'classe_correta', 'exata', 'exata', 'exata', 'exata', 'erro', 'exata', 'aceitavel', 'classe_correta', 'erro']","('aceitavel', 2)","('exata', 2)","('erro', 2)","('exata', 4)",79.73,0.472,43.243,16,1,11,3,6,0
EST_022,7,B,Inseguranças no uso das redes sociais,"['internet', 'forma', 'todo', 'o', 'inseguranças', 'maiores', 'usamos', 'coletados', 'vezes', 'são', 'sendo', 'muita', 'coleta', 'dados', 'preocupação', 'notícias', 'no', 'redes', 'sabem', 'verdade', 'Como', 'e', 'mentais', 'preocupação', 'sociais', 'forma', 'elogios', 'criar', 'rede', 'preocupação', 'com', 'de', 'e', 'dados', 'devem', 'uso', 'das']",29-02-2024,07:55,08:15,20.0,"['erro', 'classe_correta', 'exata', 'classe_correta', 'exata', 'aceitavel', 'erro', 'erro', 'exata', 'exata', 'exata', 'aceitavel', 'aceitavel', 'aceitavel', 'exata', 'aceitavel', 'aceitavel', 'exata', 'aceitavel', 'grafia_incorreta', 'erro', 'exata', 'erro', 'aceitavel', 'exata', 'classe_correta', 'aceitavel', 'classe_correta', 'grafia_incorreta', 'aceitavel', 'exata', 'exata', 'exata', 'exata', 'aceitavel', 'exata', 'exata']","('erro', 2)","('aceitavel', 3)","('grafia_incorreta', 1)","('exata', 4)",81.081,0.438,40.541,15,2,11,4,5,0
EST_028,7,B,Inseguranças no uso das redes sociais,"['maneira', 'forma', 'todo', 'esse', 'complicações', 'seguintes', 'É', 'pessoais', 'vezes', 'são', 'sendo', 'uma', 'divulgação', 'cpf', 'preocupação', 'noticias', 'do', 'redes', 'conseguimos', 'real', 'isso', 'e', 'a', 'moral', 'sociais', 'crise', 'insegurança', 'ser', 'redes', 'depressão', 'com', 'de', 'por', 'dados', 'devem', 'uso', 'das']",29-02-2024,07:55,08:03,8.0,"['aceitavel', 'classe_correta', 'exata', 'exata', 'aceitavel', 'aceitavel', 'erro', 'exata', 'exata', 'exata', 'exata', 'exata', 'aceitavel', 'erro', 'exata', 'aceitavel', 'grafia_incorreta', 'exata', 'exata', 'erro', 'exata', 'exata', 'grafia_incorreta', 'classe_correta', 'exata', 'aceitavel', 'aceitavel', 'erro', 'exata', 'exata', 'exata', 'exata', 'erro', 'exata', 'aceitavel', 'exata', 'exata']","('exata', 3)","('exata', 2)","('exata', 2)","('exata', 4)",83.784,0.417,54.054,20,2,8,2,5,0
EST_029,7,A,Inseguranças no uso das redes sociais,"['falta', 'insegurança', 'nosso', 'o', 'dúvidas', 'nossas', 'e', 'usados', 'pessoas', 'são', 'sendo', 'nossa', 'privacidade', 'dados', 'preocupação', 'informações', 'do', 'redes', 'podemos', 'verdadeiro', 'isso', 'e', 'a', 'etc', 'sociais', 'grande', '-', 'criar', 'redes', 'depressão', 'com', 'de', 'e', 'imagens', 'devem', 'conteudo', 'as']",29-02-2024,08:03,08:16,13.0,"['aceitavel', 'aceitavel', 'aceitavel', 'classe_correta', 'aceitavel', 'erro', 'erro', 'erro', 'aceitavel', 'exata', 'exata', 'aceitavel', 'aceitavel', 'aceitavel', 'exata', 'exata', 'grafia_incorreta', 'exata', 'aceitavel', 'exata', 'exata', 'exata', 'grafia_incorreta', 'erro', 'exata', 'erro', 'branco', 'classe_correta', 'exata', 'exata', 'exata', 'exata', 'exata', 'classe_correta', 'aceitavel', 'classe_correta', 'grafia_incorreta']","('aceitavel', 3)","('aceitavel', 3)","('exata', 3)","('exata', 5)",78.378,0.482,37.838,14,3,10,4,5,1
EST_031,7,B,Inseguranças no uso das redes sociais,"['rede', 'maneira', 'todo', 'esse', 'inseguranças', 'maiores', 'Com', 'pessoais', 'vezes', 'serão', 'sendo', 'uma', 'divulgação', 'golpes', 'divulgação', 'informações', 'de', 'redes', 'conseguir', 'verdadeiro', 'isso', 'juridicos', 'morais', 'emocionais', 'sociais', 'insegurança', 'traumas', 'ter', 'redes', 'depressão', 'com', 'de', 'e', 'dados', 'além', 'uso', 'das']",29-02-2024,07:55,08:13,18.0,"['classe_correta', 'aceitavel', 'exata', 'exata', 'exata', 'aceitavel', 'exata', 'exata', 'exata', 'grafia_incorreta', 'exata', 'exata', 'aceitavel', 'aceitavel', 'aceitavel', 'exata', 'exata', 'exata', 'grafia_incorreta', 'exata', 'exata', 'erro', 'erro', 'erro', 'exata', 'aceitavel', 'aceitavel', 'aceitavel', 'exata', 'exata', 'exata', 'exata', 'exata', 'exata', 'erro', 'exata', 'exata']","('exata', 3)","('aceitavel', 3)","('erro', 3)","('exata', 6)",87.838,0.36,59.459,22,2,8,1,4,0
