discente,escola,ano,turma,texto,respostas,correcao_humana,tempo_inicial,tempo_final,pontuacao,correcao,exata,grafia_incorreta,aceitavel,classe_correta,erro,branco,compreensao
EST_111,CODAP,8,A,O dia em que os jacarés invadiram a cidade,"['eram', 'jogaram', 'deram', 'machucassem', 'ocorreu', 'invadiram', 'entupiram', 'viveram', 'aumentava', 'ficaram', 'perceberam', 'era', 'estavam', 'mataram', 'era', 'tinham', 'matavam', 'mudou', 'os', 'habitavam', 'sobreviveram', 'comeram', 'começaram', 'fazer', 'criaram', 'venderam', 'tinham', 'começaram', 'atacar', 'com', 'influenciassem', 'pegaram', 'jogou', 'apertou', 'era']","['mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', '-', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', '-', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico']",08:15,08:26,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.5, 0.5, 0.5, 1.0, 1.0, 1.0, 1.0, 0.5, 1.0, 1.0, 0.5, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.5, 1.0, 1.0, 0.0, 1.0, 1.0, 0.5, 1.0, 1.0]","['exata', 'aceitavel', 'aceitavel', 'exata', 'aceitavel', 'classe_correta', 'classe_correta', 'classe_correta', 'exata', 'exata', 'aceitavel', 'exata', 'classe_correta', 'aceitavel', 'aceitavel', 'classe_correta', 'aceitavel', 'exata', 'erro', 'aceitavel', 'exata', 'aceitavel', 'exata', 'exata', 'aceitavel', 'exata', 'classe_correta', 'exata', 'aceitavel', 'erro', 'aceitavel', 'exata', 'classe_correta', 'aceitavel', 'aceitavel']",12,0,14,7,2,0,84.286
EST_112,CODAP,8,B,O dia em que os jacarés invadiram a cidade,"['são', 'viu', 'deu', 'machucassem', 'foi', '-', 'pararam', 'esconderam', 'mudava', 'ficaram', 'apareceu', 'era', 'foram', 'atacou', 'é', 'mudou', 'eram', 'mudasse', 'os', 'queriam', 'morreram', 'fugiram', 'achou', 'melhor', 'foram', 'confundiram', 'pegaram', 'levou', 'cura', 'com', 'entregasse', 'que', 'cientistas', 'deu', 'foi']","['mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', '-', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', '-', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', '-', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', '-', 'mesma classe e campo semântico diferente', '-', '-', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico']",08:07,08:16,"[1.0, 0.5, 0.5, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.5, 1.0, 0.5, 0.5, 1.0, 0.5, 0.5, 0.5, 0.0, 0.5, 1.0, 0.5, 0.5, 0.0, 0.5, 0.5, 0.5, 0.5, 0.0, 0.0, 0.5, 0.0, 0.0, 0.5, 1.0]","['aceitavel', 'classe_correta', 'classe_correta', 'exata', 'exata', 'branco', 'grafia_incorreta', 'aceitavel', 'aceitavel', 'exata', 'classe_correta', 'exata', 'classe_correta', 'classe_correta', 'aceitavel', 'classe_correta', 'classe_correta', 'classe_correta', 'erro', 'classe_correta', 'aceitavel', 'classe_correta', 'classe_correta', 'erro', 'classe_correta', 'classe_correta', 'classe_correta', 'classe_correta', 'erro', 'erro', 'classe_correta', 'erro', 'erro', 'classe_correta', 'exata']",5,1,5,17,6,1,55.714
EST_113,CODAP,8,B,O dia em que os jacarés invadiram a cidade,"['são', 'quando', 'como', 'passão', 'comente', 'gosta', 'saí', 'cuidão', 'tem', 'são', 'chega', 'é', 'sai', 'enquanto', 'quere', 'agente', 'são', 'é', 'os', 'do', 'matão', 'matão', 'que', 'sua', 'morão', 'humanos', 'são', 'pois', 'chega', 'são', 'machuque', 'mata', 'pediu', 'joga', 'em']","['mesma classe e mesmo campo semântico', '-', '-', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', '-', 'mesma classe e campo semântico diferente', '-', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', '-', '-', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', '-', '-', 'mesma classe e campo semântico diferente', '-', 'mesma classe e campo semântico diferente', '-', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', '-']",08:07,08:21,"[1.0, 0.0, 0.0, 0.5, 0.0, 0.5, 0.5, 0.0, 0.5, 0.5, 0.5, 1.0, 0.5, 0.0, 0.5, 0.0, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.5, 0.0, 0.5, 0.5, 1.0, 0.5, 0.5, 0.5, 0.0]","['aceitavel', 'erro', 'erro', 'classe_correta', 'erro', 'classe_correta', 'classe_correta', 'erro', 'classe_correta', 'classe_correta', 'classe_correta', 'aceitavel', 'classe_correta', 'erro', 'classe_correta', 'erro', 'classe_correta', 'classe_correta', 'erro', 'erro', 'erro', 'erro', 'erro', 'erro', 'classe_correta', 'erro', 'classe_correta', 'erro', 'classe_correta', 'classe_correta', 'aceitavel', 'classe_correta', 'classe_correta', 'classe_correta', 'erro']",0,0,3,17,15,0,32.857
EST_114,CODAP,8,A,O dia em que os jacarés invadiram a cidade,"['são', 'jogam', 'dão', 'machuquem', 'é', 'cresce', 'vive', 'faz', 'evolui', 'são', 'perceberam', 'era', 'foram', 'atacou', 'é', 'roubavam', 'mordia', 'aguentou', 'os', 'pegaram', '-', 'morreram', 'pegaram', 'suas', 'levaram', 'usava', 'tinham', '-', '-', 'tinham', 'machuquem', 'que', 'jogava', 'davam', 'é']","['mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', '-', 'mesma classe e mesmo campo semântico', '-', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', '-', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', '-', '-', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', '-', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico']",08:15,08:37,"[1.0, 0.5, 0.5, 1.0, 1.0, 0.5, 0.5, 0.5, 0.5, 0.5, 1.0, 1.0, 0.5, 0.5, 1.0, 0.5, 1.0, 0.5, 0.0, 0.5, 0.0, 0.5, 0.5, 0.0, 0.5, 0.5, 0.5, 0.0, 0.0, 1.0, 1.0, 0.0, 0.5, 0.5, 1.0]","['aceitavel', 'classe_correta', 'classe_correta', 'aceitavel', 'aceitavel', 'classe_correta', 'classe_correta', 'classe_correta', 'classe_correta', 'classe_correta', 'aceitavel', 'exata', 'classe_correta', 'classe_correta', 'aceitavel', 'classe_correta', 'aceitavel', 'classe_correta', 'erro', 'classe_correta', 'branco', 'classe_correta', 'classe_correta', 'erro', 'classe_correta', 'classe_correta', 'classe_correta', 'branco', 'branco', 'aceitavel', 'aceitavel', 'erro', 'classe_correta', 'classe_correta', 'aceitavel']",1,0,9,19,3,3,55.714
EST_115,CODAP,8,B,O dia em que os jacarés invadiram a cidade,"['são', 'jogaram', 'deram', 'machuquem', 'é', 'cairam', 'irem', 'repete', 'cada', 'são', 'surgiram', 'de', 'foram', 'atacaram', 'sugeriram', 'mudaram', 'eram', 'destrua', 'os', 'tomar', 'morreram', 'criados', 'multaram', 'suas', 'conviviam', 'deram', 'eram', 'tiveram', 'ferocidade', 'no', 'aproveitavam', 'jogaram', 'jacarés', 'deram', 'Foi']","['mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', '-', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', '-', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', '-', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', '-', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', '-', '-', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', '-', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico']",08:07,08:21,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.5, 0.5, 0.5, 0.0, 0.5, 0.5, 0.0, 0.5, 1.0, 0.5, 0.5, 0.5, 0.5, 0.0, 0.5, 1.0, 0.5, 0.5, 0.0, 0.5, 1.0, 0.5, 0.5, 0.0, 0.0, 0.5, 1.0, 0.0, 1.0, 1.0]","['aceitavel', 'aceitavel', 'aceitavel', 'aceitavel', 'aceitavel', 'classe_correta', 'classe_correta', 'classe_correta', 'erro', 'classe_correta', 'classe_correta', 'erro', 'classe_correta', 'aceitavel', 'classe_correta', 'classe_correta', 'classe_correta', 'classe_correta', 'erro', 'classe_correta', 'aceitavel', 'classe_correta', 'classe_correta', 'erro', 'classe_correta', 'aceitavel', 'classe_correta', 'classe_correta', 'erro', 'erro', 'classe_correta', 'grafia_incorreta', 'erro', 'aceitavel', 'exata']",1,1,9,17,7,0,55.714
EST_116,CODAP,8,A,O dia em que os jacarés invadiram a cidade,"['eram', 'jogaram', 'apertaram', 'machucassem', 'foi', '-', '-', 'passou', 'aumentava', 'ficaram', 'ficaram', 'era', 'estavam', '-', 'era', 'tinham', '-', 'aguentou', 'os', 'tomaram', '-', '-', '-', '-', '-', 'vendeu', 'tinham', '-', '-', 'com', 'machucassem', 'pegaram', 'jogaram', 'deram', 'foi']","['mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', '-', '-', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', '-', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', '-', 'mesma classe e campo semântico diferente', '-', 'mesma classe e mesmo campo semântico', '-', '-', '-', '-', '-', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', '-', '-', '-', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico']",08:15,08:26,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.5, 1.0, 1.0, 0.5, 1.0, 0.5, 0.0, 1.0, 0.5, 0.0, 0.5, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]","['exata', 'aceitavel', 'aceitavel', 'exata', 'exata', 'branco', 'branco', 'classe_correta', 'exata', 'exata', 'classe_correta', 'exata', 'classe_correta', 'branco', 'aceitavel', 'classe_correta', 'branco', 'classe_correta', 'erro', 'classe_correta', 'branco', 'branco', 'branco', 'branco', 'branco', 'classe_correta', 'classe_correta', 'branco', 'branco', 'erro', 'exata', 'exata', 'aceitavel', 'aceitavel', 'exata']",9,0,5,8,2,11,51.429
EST_117,CODAP,8,B,O dia em que os jacarés invadiram a cidade,"['eram', 'jogaram', 'deram', 'machucassem', 'foi', 'perigosos', 'ferozes', 'multiplicaram', 'crecia', 'ficaram', 'descobriram', 'era', 'invadiram', 'atacaram', 'era', 'tinham', 'comiam', 'mudou', 'eram', 'comandavam', 'sobraram', 'devoraram', 'fizeram', 'mesma', 'criaram', 'venderam', 'perderam', 'atacavam', 'todos', 'tinham', 'machucasse', 'pegou', 'jogou', 'apertou', 'Foi']","['mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', '-', '-', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', '-', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', '-', '-', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico']",08:07,08:16,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 0.5, 1.0, 0.5, 0.0, 1.0, 1.0, 1.0, 0.5, 0.0, 1.0, 1.0, 0.5, 0.5, 1.0, 1.0]","['exata', 'aceitavel', 'aceitavel', 'exata', 'exata', 'erro', 'erro', 'aceitavel', 'erro', 'exata', 'aceitavel', 'exata', 'aceitavel', 'aceitavel', 'aceitavel', 'classe_correta', 'aceitavel', 'exata', 'exata', 'grafia_incorreta', 'classe_correta', 'exata', 'classe_correta', 'erro', 'aceitavel', 'exata', 'exata', 'classe_correta', 'erro', 'aceitavel', 'grafia_incorreta', 'classe_correta', 'classe_correta', 'aceitavel', 'exata']",11,2,11,6,5,0,77.143
EST_118,CODAP,8,B,O dia em que os jacarés invadiram a cidade,"['são', 'são', 'que', '-', 'ser', 'Feras', 'esta', 'que', 'Se', 'que', 'do', 'era', 'nas', 'que', 'se', 'São', 'ataca', 'e', 'os', 'esta', 'São', 'o', 'que', 'que', 'São', 'tem', 'e', 'São', 'aqueles', 'São', 'porque', 'que', 'que', 'nao', 'ne']","['mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', '-', '-', 'mesma classe e mesmo campo semântico', '-', 'mesma classe e campo semântico diferente', '-', '-', '-', '-', 'mesma classe e mesmo campo semântico', '-', '-', '-', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', '-', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', '-', '-', '-', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', '-', 'mesma classe e campo semântico diferente', '-', '-', '-', '-', '-']",08:07,08:09,"[1.0, 0.5, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.5, 0.5, 0.0, 0.5, 0.0, 0.5, 0.0, 0.0, 0.0, 0.5, 0.5]","['aceitavel', 'classe_correta', 'erro', 'branco', 'classe_correta', 'erro', 'erro', 'erro', 'erro', 'erro', 'erro', 'exata', 'erro', 'erro', 'erro', 'classe_correta', 'classe_correta', 'erro', 'erro', 'erro', 'classe_correta', 'erro', 'erro', 'erro', 'classe_correta', 'classe_correta', 'erro', 'classe_correta', 'erro', 'classe_correta', 'erro', 'erro', 'erro', 'classe_correta', 'classe_correta']",1,0,1,11,21,1,21.429
EST_119,CODAP,8,A,O dia em que os jacarés invadiram a cidade,"['são', 'que', 'estam', 'machuque', 'é', 'estam', 'elu', 'que', 'é', 'os', 'chegaram', 'estava', 'apareceram', 'mas', 'jacarés', 'que', 'modificaram', 'mudança', 'os', 'estam', 'estranhos', 'é', 'humana', 'que', 'são', 'usam', 'foram', 'mais', 'os', 'tem', 'vivem', 'que', 'jacarés', 'que', 'é']","['mesma classe e mesmo campo semântico', '-', '-', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', '-', '-', 'mesma classe e campo semântico diferente', '-', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', '-', '-', '-', 'mesma classe e campo semântico diferente', '-', '-', 'mesma classe e campo semântico diferente', '-', 'mesma classe e campo semântico diferente', '-', '-', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', '-', '-', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', '-', '-', '-', 'mesma classe e mesmo campo semântico']",08:15,08:31,"[1.0, 0.0, 0.5, 1.0, 1.0, 0.5, 0.0, 0.0, 0.5, 0.0, 1.0, 1.0, 0.5, 0.0, 0.0, 0.0, 0.5, 0.5, 0.0, 0.5, 0.0, 0.5, 0.0, 0.0, 0.5, 0.5, 0.5, 0.0, 0.0, 0.5, 0.5, 0.0, 0.0, 0.0, 1.0]","['aceitavel', 'erro', 'classe_correta', 'aceitavel', 'aceitavel', 'classe_correta', 'erro', 'erro', 'classe_correta', 'erro', 'aceitavel', 'aceitavel', 'classe_correta', 'erro', 'erro', 'erro', 'classe_correta', 'classe_correta', 'erro', 'classe_correta', 'erro', 'classe_correta', 'erro', 'erro', 'classe_correta', 'classe_correta', 'classe_correta', 'erro', 'erro', 'classe_correta', 'classe_correta', 'erro', 'erro', 'erro', 'aceitavel']",0,0,6,13,16,0,35.714
EST_120,CODAP,8,A,O dia em que os jacarés invadiram a cidade,"['eram', 'viram', 'deram', 'machucassem', 'aconteceu', 'minúsculos', 'ferozes', 'iniciou', 'cresceu', 'eram', 'perceberam', 'era', 'andavam', 'assustava', 'era', 'roubavam', 'existiam', 'conseguisse', 'os', 'habitavam', 'morreram', 'viraram', 'criaram', 'diversa', 'criaram', 'deram', 'tinham', 'começaram', 'atacar', 'tinham', 'assustasem', 'colocaram', 'colocavam', 'deram', 'foi']","['mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', '-', '-', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', '-', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', '-', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico']",08:15,08:37,"[1.0, 0.5, 1.0, 1.0, 1.0, 0.0, 0.0, 0.5, 0.5, 1.0, 1.0, 1.0, 0.5, 0.5, 1.0, 0.5, 0.5, 0.5, 0.0, 1.0, 1.0, 0.5, 0.5, 0.0, 1.0, 1.0, 0.5, 1.0, 1.0, 1.0, 0.5, 1.0, 0.5, 1.0, 1.0]","['exata', 'classe_correta', 'aceitavel', 'exata', 'aceitavel', 'erro', 'erro', 'classe_correta', 'classe_correta', 'aceitavel', 'aceitavel', 'exata', 'classe_correta', 'classe_correta', 'aceitavel', 'classe_correta', 'classe_correta', 'classe_correta', 'erro', 'aceitavel', 'aceitavel', 'classe_correta', 'classe_correta', 'erro', 'aceitavel', 'aceitavel', 'classe_correta', 'exata', 'aceitavel', 'aceitavel', 'classe_correta', 'aceitavel', 'classe_correta', 'aceitavel', 'exata']",5,0,13,13,4,0,70.0
