discente,ano,turma,texto,respostas,data,tempo_inicial,tempo_final,lemma_pos,avaliacao_lacunas,percentual_acerto,compreensao,velocidade
EST_001,9,B,Consumismo entre os jovens,"['como', 'de', 'atribuido', 'de', 'em', 'do', 'social', 'importantes', 'essagerado', 'extresse', 'das', 'são', 'jovem', 'propicio', 'ainda', 'Em', 'informar', 'por', 'deles', 'total', 'das', 'disso', 'o', 'é', 'administrativa', 'aprendam', 'economizar', 'importante', 'sub', 'para', 'exesso', 'para', 'o', 'É', 'consumo', 'totalmente', 'possivel']",29-02-2024,08:01,08:09,"[('como', 'ADP'), ('de', 'ADP'), ('atribuir', 'VERB'), ('de', 'ADP'), ('em', 'ADP'), ('de o', 'ADP'), ('social', 'ADJ'), ('importante', 'ADJ'), ('essagerado', 'NOUN'), ('extresse', 'NOUN'), ('de o', 'ADP'), ('ser', 'AUX'), ('jovem', 'ADJ'), ('propicio', 'ADJ'), ('ainda', 'ADV'), ('em', 'ADP'), ('informar', 'VERB'), ('por', 'ADP'), ('de ele', 'PRON'), ('total', 'ADJ'), ('de o', 'ADP'), ('de isso', 'PRON'), ('o', 'DET'), ('ser', 'AUX'), ('administrativo', 'ADJ'), ('aprendam', 'VERB'), ('economizar', 'VERB'), ('importante', 'ADJ'), ('sub', 'NOUN'), ('para', 'ADP'), ('exesso', 'NOUN'), ('para', 'ADP'), ('o', 'DET'), ('ser', 'AUX'), ('consumo', 'NOUN'), ('totalmente', 'ADV'), ('possivel', 'ADJ')]","[1, 0.602, 0.989, 0.5, 0.989, 0.5, 1, 0.749, 0, 0.928, 1, 1, 0.6, 0, 1, 0, 0.625, 1, 1, 0.856, 0.996, 0, 1, 1, 0.934, 1, 0.5, 0.955, 0.803, 0.984, 0.986, 1, 1, 1, 1, 0, 0]",37.83783783783784,74.31119045695743,8.0
EST_004,9,A,Consumismo entre os jovens,"['entre', 'a', 'exercida', 'de', 'aos', 'do', 'social', 'graves', 'também', 'frustação', 'e', 'são', 'adolescentes', 'apegado', 'ainda', 'e', 'identificar', 'no', 'jovens', 'suficiente', 'de', 'prazo', 'o', 'é', 'financeira', 'aprendam', 'valorizar', 'importante', 'consumo', 'sobre', 'ato', 'para', 'o', 'é', 'consumo', 'algo', 'feito']",29-02-2024,08:02,08:11,"[('entre', 'ADP'), ('a', 'ADP'), ('exercer', 'VERB'), ('de', 'ADP'), ('a o', 'ADP'), ('de o', 'ADP'), ('social', 'ADJ'), ('grave', 'ADJ'), ('também', 'ADV'), ('frustação', 'NOUN'), ('e', 'CCONJ'), ('ser', 'AUX'), ('adolescente', 'NOUN'), ('apegar', 'VERB'), ('ainda', 'ADV'), ('e', 'CCONJ'), ('identificar', 'VERB'), ('em o', 'ADP'), ('jovem', 'NOUN'), ('suficiente', 'ADJ'), ('de', 'ADP'), ('prazo', 'NOUN'), ('o', 'DET'), ('ser', 'AUX'), ('financeiro', 'ADJ'), ('aprendam', 'VERB'), ('valorizar', 'VERB'), ('importante', 'ADJ'), ('consumo', 'NOUN'), ('sobre', 'ADP'), ('ato', 'NOUN'), ('para', 'ADP'), ('o', 'DET'), ('ser', 'AUX'), ('consumo', 'NOUN'), ('algo', 'PRON'), ('fazer', 'VERB')]","[0.965, 0.865, 1, 0.5, 0.602, 0.5, 1, 0.945, 0, 0.889, 0, 1, 0.998, 0.739, 1, 1, 0.735, 0.455, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0.955, 1, 1, 0.582, 1, 1, 1.0, 1, 1, 1]",56.75675675675676,83.05155802238453,9.0
EST_005,9,A,Consumismo entre os jovens,"['como', 'de', 'jeito', 'de', 'de', 'de', 'social', 'graves', 'exagerado', 'frustração', 'de', 'são', 'jovens', 'por', 'eles', 'então', 'juntar', 'pelo', 'deles', 'suficiente', 'das', 'prazo', 'o', 'é', 'financeira', 'consigam', 'guardar', 'importante', 'gasto', 'das', 'real', 'para', 'o', 'é', 'consumo', 'nada', 'jeito']",29-02-2024,08:02,08:10,"[('como', 'ADP'), ('de', 'ADP'), ('jeito', 'NOUN'), ('de', 'ADP'), ('de', 'ADP'), ('de', 'ADP'), ('social', 'ADJ'), ('grave', 'ADJ'), ('exagerar', 'VERB'), ('frustração', 'NOUN'), ('de', 'ADP'), ('ser', 'AUX'), ('jovem', 'NOUN'), ('por', 'ADP'), ('ele', 'PRON'), ('então', 'ADV'), ('juntar', 'VERB'), ('por o', 'ADP'), ('de ele', 'PRON'), ('suficiente', 'ADJ'), ('de o', 'ADP'), ('prazo', 'NOUN'), ('o', 'DET'), ('ser', 'AUX'), ('financeiro', 'ADJ'), ('consigam', 'VERB'), ('guardar', 'VERB'), ('importante', 'ADJ'), ('gastar', 'VERB'), ('de o', 'ADP'), ('Real', 'NOUN'), ('para', 'ADP'), ('o', 'DET'), ('ser', 'AUX'), ('consumo', 'NOUN'), ('nada', 'PRON'), ('jeito', 'NOUN')]","[1, 0.602, 0, 0.5, 1, 1, 1, 0.945, 0.986, 1, 0.996, 1, 1, 0, 0, 0, 0.947, 0.524, 1, 1, 0.996, 1, 1, 1, 1, 0.975, 0.765, 0.955, 0, 0.976, 0.628, 1, 1, 1.0, 1, 0.948, 0.8]",45.94594594594595,79.84488926223807,8.0
EST_007,9,B,Consumismo entre os jovens,"['exemplo', 'as', 'feita', 'de', 'dos', 'de', 'social', 'graves', 'também', 'expectativas', 'são', 'são', 'jovens', 'colocados', 'ainda', 'e', 'descobrir', 'pelo', 'deles', 'suficiente', 'das', 'prazo', 'o', 'é', 'logo', 'venham', 'guardar', 'importante', 'sub', 'sobre', 'meia', 'para', 'o', 'É', 'dinheiro', 'muito', 'usado']",29-02-2024,08:01,08:14,"[('exemplo', 'NOUN'), ('o', 'DET'), ('fazer', 'VERB'), ('de', 'ADP'), ('de o', 'ADP'), ('de', 'ADP'), ('social', 'ADJ'), ('grave', 'ADJ'), ('também', 'ADV'), ('expectativa', 'NOUN'), ('ser', 'AUX'), ('ser', 'AUX'), ('jovem', 'NOUN'), ('colocar', 'VERB'), ('ainda', 'ADV'), ('e', 'CCONJ'), ('descobrir', 'VERB'), ('por o', 'ADP'), ('de ele', 'PRON'), ('suficiente', 'ADJ'), ('de o', 'ADP'), ('prazo', 'NOUN'), ('o', 'DET'), ('ser', 'AUX'), ('logo', 'ADV'), ('vir', 'VERB'), ('guardar', 'VERB'), ('importante', 'ADJ'), ('sub', 'NOUN'), ('sobre', 'ADP'), ('meia', 'NOUN'), ('para', 'ADP'), ('o', 'DET'), ('ser', 'AUX'), ('dinheiro', 'NOUN'), ('muito', 'ADV'), ('usar', 'VERB')]","[0, 0.5, 0.98, 0.5, 0.996, 1, 1, 0.945, 0, 0.929, 0, 1, 1, 0.556, 1, 1, 0.936, 0.524, 1, 1, 0.996, 1, 1, 1, 0, 0.527, 0.765, 0.955, 0.803, 1, 0.94, 1, 1, 1, 0.989, 0, 0.63]",40.54054054054054,76.95000853176947,13.0
EST_025,9,B,Consumismo entre os jovens,"['tipo', 'de', 'feito', 'de', 'nos', 'no', 'forte', 'prejudiciais', 'exagerado', 'intriga', 'nas', 'são', 'jovens', 'entregados', 'eles', 'e', 'juntar', 'ao', 'deles', 'suficiente', 'e', 'tempo', 'o', 'é', 'já', 'consiga', 'guardar', 'fundamental', 'consumo', 'sobre', 'uso', 'para', 'o', 'É', 'consumo', 'tão', 'claro']",29-02-2024,08:01,08:29,"[('tipo', 'NOUN'), ('de', 'ADP'), ('fazer', 'VERB'), ('de', 'ADP'), ('em o', 'ADP'), ('em o', 'ADP'), ('forte', 'ADJ'), ('prejudicial', 'ADJ'), ('exagerar', 'VERB'), ('intrigar', 'VERB'), ('em o', 'ADP'), ('ser', 'AUX'), ('jovem', 'NOUN'), ('entregar', 'VERB'), ('ele', 'PRON'), ('e', 'CCONJ'), ('juntar', 'VERB'), ('a o', 'ADP'), ('de ele', 'PRON'), ('suficiente', 'ADJ'), ('e', 'CCONJ'), ('tempo', 'NOUN'), ('o', 'DET'), ('ser', 'AUX'), ('já', 'ADV'), ('consiga', 'VERB'), ('guardar', 'VERB'), ('fundamental', 'ADJ'), ('consumo', 'NOUN'), ('sobre', 'ADP'), ('uso', 'NOUN'), ('para', 'ADP'), ('o', 'DET'), ('ser', 'AUX'), ('consumo', 'NOUN'), ('tão', 'ADV'), ('claro', 'ADV')]","[0, 0.602, 0.98, 0.5, 0.696, 0.696, 0.941, 0.631, 0.986, 0, 0.667, 1, 1, 0.979, 0, 1, 0.947, 0.441, 1, 1, 0, 0.975, 1, 1, 0, 0.981, 0.765, 0.988, 1, 1, 0.584, 1, 1, 1, 1, 0, 0]",35.13513513513514,71.23640847232964,28.0
EST_027,9,A,Consumismo entre os jovens,"['como', 'lojas', 'estetica', 'extremo', 'se', 'se', 'social', 'piores', 'ecessivo', 'frustração', 'e', 'são', 'jovens', 'conduzidos', 'eles', 'e', 'encaixar', 'por', 'deles', 'suficiente', 'das', 'prazo', 'extremo', 'é', 'financeira', 'aprendam', 'manusear', 'importante', 'gasto', 'sobre', 'produto', 'para', 'pessoas', 'é', 'consumo', 'algo', 'consumo']",29-02-2024,08:02,08:17,"[('como', 'ADP'), ('loja', 'NOUN'), ('estetico', 'ADJ'), ('extremo', 'ADJ'), ('se', 'SCONJ'), ('se', 'SCONJ'), ('social', 'ADJ'), ('piores', 'ADJ'), ('ecessivo', 'ADJ'), ('frustração', 'NOUN'), ('e', 'CCONJ'), ('ser', 'AUX'), ('jovem', 'NOUN'), ('conduzir', 'VERB'), ('ele', 'PRON'), ('e', 'CCONJ'), ('encaixar', 'VERB'), ('por', 'ADP'), ('de ele', 'PRON'), ('suficiente', 'ADJ'), ('de o', 'ADP'), ('prazo', 'NOUN'), ('extremo', 'ADJ'), ('ser', 'AUX'), ('financeiro', 'ADJ'), ('aprendam', 'VERB'), ('manusear', 'VERB'), ('importante', 'ADJ'), ('gastar', 'VERB'), ('sobre', 'ADP'), ('produto', 'NOUN'), ('para', 'ADP'), ('pessoa', 'NOUN'), ('ser', 'AUX'), ('consumo', 'NOUN'), ('algo', 'PRON'), ('consumo', 'NOUN')]","[1, 0, 0, 0, 0.5, 0.5, 1, 1, 0, 1, 0, 1, 1, 0.826, 0, 1, 0.957, 1, 1, 1, 0.996, 1, 0, 1, 1, 1, 0.966, 0.955, 0, 1, 0.993, 1, 0, 1.0, 1, 1, 0]",51.35135135135135,69.4402750440546,15.0
EST_030,9,B,Consumismo entre os jovens,"['com', 'de', 'causada', 'do', 'de', 'de', 'e', 'maior', 'que', '-', 'de', 'são', 'jovens', 'ir', 'os', 'e', 'e', 'no', 'não', 'e', 'de', 'prazo', 'o', 'é', 'e', 'isso', 'consumo', 'isso', 'auto', 'sobre', 'um', 'consumo', 'o', 'e', 'consumo', 'totalmente', 'moderado']",29-02-2024,08:01,08:13,"[('com', 'ADP'), ('de', 'ADP'), ('causar', 'VERB'), ('de o', 'ADP'), ('de', 'ADP'), ('de', 'ADP'), ('e', 'CCONJ'), ('grande', 'ADJ'), ('que', 'SCONJ'), ('-', 'PUNCT'), ('de', 'ADP'), ('ser', 'AUX'), ('jovem', 'NOUN'), ('ir', 'VERB'), ('o', 'DET'), ('e', 'CCONJ'), ('e', 'CCONJ'), ('em o', 'ADP'), ('não', 'ADV'), ('e', 'CCONJ'), ('de', 'ADP'), ('prazo', 'NOUN'), ('o', 'DET'), ('ser', 'AUX'), ('e', 'CCONJ'), ('isso', 'PRON'), ('consumo', 'NOUN'), ('isso', 'PRON'), ('auto', 'PROPN'), ('sobre', 'ADP'), ('um', 'DET'), ('consumo', 'NOUN'), ('o', 'DET'), ('e', 'CCONJ'), ('consumo', 'NOUN'), ('totalmente', 'ADV'), ('moderar', 'VERB')]","[0.667, 0.602, 0.968, 1, 1, 1, 0, 0.936, 0, 0, 0.996, 1, 1, 0.523, 0, 1, 0, 0.455, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0.978]",35.13513513513514,51.68998130538442,12.0
EST_032,9,B,Consumismo entre os jovens,"['pois', 'das', 'causada', 'de', 'nos', 'dos', 'social', 'ruins', 'excessivo', 'desperdício', 'das', 'são', 'jovens', 'ajudando', 'eles', 'e', 'incluir', 'no', 'adolescentes', 'suficiente', 'das', 'tempo', 'o', 'é', 'social', 'consigam', 'juntar', 'agradável', 'consumo', 'para', 'erro', 'para', 'o', 'É', 'consumo', 'totalmente', 'pouco']",29-02-2024,08:01,08:25,"[('pois', 'SCONJ'), ('de o', 'ADP'), ('causar', 'VERB'), ('de', 'ADP'), ('em o', 'ADP'), ('de o', 'ADP'), ('social', 'ADJ'), ('ruim', 'ADJ'), ('excessivo', 'ADJ'), ('desperdício', 'NOUN'), ('de o', 'ADP'), ('ser', 'AUX'), ('jovem', 'NOUN'), ('ajudar', 'VERB'), ('ele', 'PRON'), ('e', 'CCONJ'), ('incluir', 'VERB'), ('em o', 'ADP'), ('adolescente', 'NOUN'), ('suficiente', 'ADJ'), ('de o', 'ADP'), ('tempo', 'NOUN'), ('o', 'DET'), ('ser', 'AUX'), ('social', 'ADJ'), ('consigam', 'VERB'), ('juntar', 'VERB'), ('agradável', 'ADJ'), ('consumo', 'NOUN'), ('para', 'ADP'), ('erro', 'NOUN'), ('para', 'ADP'), ('o', 'DET'), ('ser', 'AUX'), ('consumo', 'NOUN'), ('totalmente', 'ADV'), ('pouco', 'ADV')]","[0, 0.623, 0.968, 0.5, 0.696, 0.996, 1, 0.903, 0, 0.886, 1, 1, 1, 0.813, 0, 1, 0.958, 0.455, 0, 1, 0.996, 0.975, 1, 1, 0.596, 0.975, 0.917, 0.973, 1, 0.984, 0.959, 1, 1, 1, 1, 0, 0]",35.13513513513514,76.14546324755696,24.0
EST_033,9,B,Consumismo entre os jovens,"['como', 'a', 'dada', 'de', 'de', 'de', 'social', 'ruina', 'grande', 'raiva', 'das', 'são', 'adolecentes', 'devido', 'muitos', 'e', 'concetar', 'no', 'deles', 'suficiente', 'de', 'prazo', 'o', 'é', 'adequada', 'possamos', 'ganhar', 'importante', 'uso', 'deles', 'um', 'para', 'nosso', 'é', 'consumo', 'tão', 'usado']",29-02-2024,08:01,08:10,"[('como', 'ADP'), ('a', 'ADP'), ('dar', 'VERB'), ('de', 'ADP'), ('de', 'ADP'), ('de', 'ADP'), ('social', 'ADJ'), ('ruina', 'NOUN'), ('grande', 'ADJ'), ('raiva', 'NOUN'), ('de o', 'ADP'), ('ser', 'AUX'), ('adolecente', 'NOUN'), ('devido', 'ADV'), ('muito', 'DET'), ('e', 'CCONJ'), ('concetar', 'NOUN'), ('em o', 'ADP'), ('de ele', 'PRON'), ('suficiente', 'ADJ'), ('de', 'ADP'), ('prazo', 'NOUN'), ('o', 'DET'), ('ser', 'AUX'), ('adequado', 'ADJ'), ('possamos', 'VERB'), ('ganhar', 'VERB'), ('importante', 'ADJ'), ('uso', 'NOUN'), ('de ele', 'PRON'), ('um', 'DET'), ('para', 'ADP'), ('nosso', 'DET'), ('ser', 'AUX'), ('consumo', 'NOUN'), ('tão', 'ADV'), ('usar', 'VERB')]","[1, 0.865, 0.529, 0.5, 1, 1, 1, 0, 0, 0.921, 1, 1, 0.991, 0, 0, 1, 0, 0.455, 1, 1, 1, 1, 1, 1, 0.596, 0.986, 0.967, 0.955, 0.525, 0, 0, 1, 0.522, 1.0, 1, 0, 0.63]",43.24324324324324,68.76311077459437,9.0
EST_037,9,A,Consumismo entre os jovens,"['porque', 'muitas', 'social', 'de', 'de', 'de', 'social', 'piores', 'social', 'desigualdade', 'são', 'são', 'jovens', 'pelo', 'eles', 'eles', 'legal', 'pelo', 'jovens', 'porque', 'das', 'vida', 'o', 'é', 'familia', 'posão', 'economiza', 'importante', 'desenvolvimento', 'para', 'dia', 'de', 'o', 'é', 'consumo', 'muito', 'usando']",29-02-2024,08:02,08:15,"[('porque', 'SCONJ'), ('muito', 'DET'), ('social', 'ADJ'), ('de', 'ADP'), ('de', 'ADP'), ('de', 'ADP'), ('social', 'ADJ'), ('piores', 'ADJ'), ('social', 'ADJ'), ('desigualdade', 'NOUN'), ('ser', 'AUX'), ('ser', 'AUX'), ('jovem', 'NOUN'), ('por o', 'ADP'), ('ele', 'PRON'), ('ele', 'PRON'), ('legal', 'ADJ'), ('por o', 'ADP'), ('jovem', 'NOUN'), ('porque', 'SCONJ'), ('de o', 'ADP'), ('vida', 'NOUN'), ('o', 'DET'), ('ser', 'AUX'), ('Familia', 'PROPN'), ('posão', 'NUM'), ('economizar', 'VERB'), ('importante', 'ADJ'), ('desenvolvimento', 'NOUN'), ('para', 'ADP'), ('dia', 'NOUN'), ('de', 'ADP'), ('o', 'DET'), ('ser', 'AUX'), ('consumo', 'NOUN'), ('muito', 'ADV'), ('usar', 'VERB')]","[0, 0, 0, 0.5, 1, 1, 1, 1, 0, 0.907, 0, 1, 1, 0, 0, 0, 0, 0.524, 0, 0, 0.996, 0.679, 1, 1, 0, 0, 0.975, 0.955, 0.996, 0.984, 0.985, 0.986, 1, 1.0, 1, 0, 0.63]",29.72972972972973,57.067194250789846,13.0
