discente,escola,ano,turma,texto,respostas,classificacao,correcao,tempo_inicial,tempo_final
EST_01,CODAP,6,A,Lembranças do passado,"['dava', 'tinha', 'tinhamos', 'fomos', 'estava', 'fazia', 'era', 'era', 'íamos', 'até', 'anoitecia', 'acontecia', 'via', 'acendiam', 'fazia', 'ouvia', 'era', 'amava', 'que', 'era', 'meio', 'da', 'era', 'era', '-', 'tinha', 'esta', 'tinha', 'boas', 'ajudamos', 'tudo', 'era', 'tecnologia', 'gostava', 'tenho']","['verbo', 'verbo', 'verbo', 'verbo', 'verbo', 'verbo', 'verbo', 'verbo', 'verbo', 'preposição', 'verbo', 'verbo', 'verbo', 'verbo', 'verbo', 'verbo', 'verbo', 'verbo', 'pronome relativo', 'verbo', 'advérbio de intensidade', 'contração', 'verbo', 'verbo', '-', 'verbo', 'verbo', 'verbo', 'adjetivo', 'verbo', 'pronome indefinido', 'verbo', 'nome substantivo', 'verbo', 'verbo']","['mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', '-', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', '-', 'mesma classe e campo semântico diferente', '-', '-', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', '-', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', '-', 'mesma classe e campo semântico diferente', '-', 'mesma classe e mesmo campo semântico', '-', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico']",08:09,08:18
EST_02,CODAP,6,B,Lembranças do passado,"['carro', 'tirava', 'de', 'eu', 'de', 'pasava', 'era', 'era', 'brica', 'e', 'acotesia', 'egrosa', 'acabava', 'apagava', 'parava', 'dia', 'da', 'ficamu', 'foi', 'adavam', 'sorriu', 'ficou', 'aconteceram', 'de', 'tem', 'evoluiu', 'coisas', 'também', 'gosto', 'a', 'Brasil', 'qual', 'de', 'não', 'mas']","['nome substantivo', 'verbo', 'preposição', 'pronome pessoal', 'preposição', 'verbo', 'verbo', 'verbo', 'verbo', 'conjunção aditiva', 'verbo', 'verbo', 'verbo', 'verbo', 'verbo', 'nome substantivo', 'verbo', 'verbo', 'verbo', 'verbo', 'verbo', 'verbo', 'verbo', 'preposição', 'verbo', 'verbo', 'nome substantivo', 'advérbio de inclusão', 'verbo', 'artigo', 'nome substantivo', 'pronome interrogativo', 'preposição', 'advérbio de negação', 'conjunção adversativa']","['-', 'mesma classe e campo semântico diferente', '-', '-', '-', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', '-', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', '-', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', '-', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', '-', '-', 'mesma classe e campo semântico diferente', '-', '-', '-', '-', '-', '-']",08:00,08:16
EST_03,CODAP,6,A,Lembranças do passado,"['trabalhava', 'é', 'o', 'a', 'tem', 'solta', 'era', 'era', 'brincavamos', 'era', 'faltava', 'faltava', 'caia', 'e', 'falava', 'escutava', 'é', 'teve', 'era', 'eram', 'são', 'é', 'eram', 'era', 'tinha', 'compraram', 'e', 'as', 'eram', 'e', 'é', 'era', 'eram', 'era', 'são']","['verbo', 'verbo', 'artigo', 'artigo', 'verbo', 'verbo', 'verbo', 'verbo', 'verbo', 'verbo', 'verbo', 'verbo', 'verbo', 'conjunção aditiva', 'verbo', 'verbo', 'verbo', 'verbo', 'verbo', 'verbo', 'verbo', 'verbo', 'verbo', 'verbo', 'verbo', 'verbo', 'conjunção aditiva', 'artigo', 'verbo', 'verbo', 'verbo', 'verbo', 'verbo', 'verbo', 'verbo']","['mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', '-', '-', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', '-', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', '-', '-', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico']",08:09,08:24
EST_04,CODAP,6,B,Lembranças do passado,"['trabalhava', 'gastava', 'o', 'viagar', 'mas', 'tem', 'é', 'é', 'paseamos', 'é', 'é', 'que', 'tem', 'é', 'tem', 'a', 'da', 'feliz', 'foram', 'foram', 'tambem', 'foi', 'pela', 'é', 'tem', 'ficarem', 'ricos', 'tem', 'ficam', 'estas', 'do', 'é', 'patria', 'não', 'sera']","['verbo', 'verbo', 'artigo', 'verbo', 'conjunção adversativa', 'verbo', 'verbo', 'verbo', 'verbo', 'verbo', 'verbo', 'pronome relativo', 'verbo', 'verbo', 'verbo', 'artigo', 'verbo', 'adjetivo', 'verbo', 'verbo', 'advérbio de inclusão', 'verbo', 'contração', 'verbo', 'verbo', 'verbo', 'nome substantivo', 'verbo', 'verbo', 'verbo', 'contração', 'verbo', 'nome substantivo', 'advérbio de negação', 'verbo']","['mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', '-', 'mesma classe e campo semântico diferente', '-', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', '-', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', '-', 'mesma classe e campo semântico diferente', '-', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', '-', 'mesma classe e campo semântico diferente', '-', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', '-', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', '-', 'mesma classe e mesmo campo semântico', '-', '-', 'mesma classe e mesmo campo semântico']",08:00,08:31
EST_05,CODAP,6,B,Lembranças do passado,"['trabalhava', 'fazia', 'o', 'suficiente', 'quando', 'a', 'era', 'era', 'brincava', 'acaba', 'acende', 'é', 'acaba', 'também', 'eletrico', 'é', 'era', 'queria', 'era', 'anda', 'sai', 'que', 'é', 'é', 'tem', 'acontece', 'lançadas', 'tem', 'acho', 'muita', 'raiva', 'é', 'trazer', 'falo', 'é']","['verbo', 'verbo', 'artigo', 'adjetivo', 'advérbio de tempo', 'artigo', 'verbo', 'verbo', 'verbo', 'verbo', 'verbo', 'verbo', 'verbo', 'advérbio de inclusão', 'adjetivo', 'verbo', 'verbo', 'verbo', 'verbo', 'verbo', 'verbo', 'pronome relativo', 'verbo', 'verbo', 'verbo', 'verbo', 'verbo', 'verbo', 'verbo', 'pronome indefinido', 'nome substantivo', 'verbo', 'verbo', 'verbo', 'verbo']","['mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', '-', '-', '-', '-', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', '-', '-', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', '-', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', '-', '-', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico']",08:00,08:26
EST_06,CODAP,6,A,Lembranças do passado,"['trabalhava', 'ganhava', 'ssobrava', 'viajava', 'era', 'ssaia', 'era', 'era', 'brimcavamos', 'assendia', 'escurecia', 'melhorou', 'chegou', 'ssubistuirão', 'tocava', 'escutavão', 'foi', 'gostou', 'forão', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","['verbo', 'verbo', 'verbo', 'verbo', 'verbo', 'verbo', 'verbo', 'verbo', 'verbo', 'verbo', 'verbo', 'verbo', 'verbo', 'verbo', 'verbo', 'verbo', 'verbo', 'verbo', 'verbo', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","['mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']",08:09,08:27
EST_07,CODAP,6,B,Lembranças do passado,"['trabalhava', 'trabalhava', 'ganhava', 'fomos', 'que', 'tem', 'é', 'é', 'fomos', 'estava', 'eu', 'aconteceu', 'veio', 'estouraram', 'funcionou', 'era', 'foram', 'viu', 'a', 'fumcionam', 'estão', 'carmopolis', 'maravilhosas', 'esta', 'sofre', 'eu', 'ela', 'odiei', 'atrasam', 'são', 'é', 'é', 'tem', 'gosto', 'são']","['verbo', 'verbo', 'verbo', 'verbo', 'pronome relativo', 'verbo', 'verbo', 'verbo', 'verbo', 'verbo', 'pronome pessoal', 'verbo', 'verbo', 'verbo', 'verbo', 'verbo', 'verbo', 'verbo', 'artigo', 'verbo', 'verbo', 'nome substantivo', 'adjetivo', 'verbo', 'verbo', 'pronome pessoal', 'pronome pessoal', 'verbo', 'verbo', 'verbo', 'verbo', 'verbo', 'verbo', 'verbo', 'verbo']","['mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', '-', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', '-', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', '-', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', '-', '-', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', '-', '-', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico']",08:00,08:26
EST_08,CODAP,6,A,Lembranças do passado,"['muito', 'e', 'o', '-', '-', 'souta', 'e', 'e', 'sentamos', 'acende', 'chegamos', 'acontece', 'acaba', 'e', 'passa', 'as', 'teve', 'adimerou', 'e', 'adimiramos', 'vão', 'onde', 'e', 'e', 'acontece', '-', '-', 'e', '-', '-', '-', '-', '-', '-', '-']","['advérbio de intensidade', 'conjunção', 'artigo', '-', '-', 'verbo', 'verbo', 'verbo', 'verbo', 'verbo', 'verbo', 'verbo', 'verbo', 'conjunção aditiva', 'verbo', 'artigo', 'verbo', 'verbo', 'verbo', 'verbo', 'verbo', 'advérbio de lugar', 'conjunção aditiva', 'verbo', 'verbo', '-', '-', 'conjunção aditiva', '-', '-', '-', '-', '-', '-', '-']","['-', '-', '-', '-', '-', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', '-', 'mesma classe e campo semântico diferente', '-', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', '-', '-', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']",08:09,08:24
EST_09,CODAP,6,B,Lembranças do passado,"['muito', 'trabalhava', 'o', '-', 'ir', 'soltava', 'era', 'era', 'brincavamos', 'aparecia', 'noite', 'acontecia', 'acabava', 'substuiram', 'acabou', 'assistia', 'era', 'ia', 'eram', 'eram', 'sumiram', 'mudou', 'aconteciam', 'era', 'tinha', 'trabalhace', 'locuras', 'modou', 'perceberam', 'São Paulo', 'creceu', 'virou', 'causou', 'gostava', 'perteciam']","['advérbio de intensidade', 'verbo', 'artigo', '-', 'verbo', 'verbo', 'verbo', 'verbo', 'verbo', 'verbo', 'nome substantivo', 'verbo', 'verbo', 'verbo', 'verbo', 'verbo', 'verbo', 'verbo', 'verbo', 'verbo', 'verbo', 'verbo', 'verbo', 'verbo', 'verbo', 'verbo', 'nome substantivo', 'verbo', 'verbo', 'nome substantivo', 'verbo', 'verbo', 'verbo', 'verbo', 'verbo']","['-', 'mesma classe e campo semântico diferente', '-', '-', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', '-', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', '-', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', '-', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente']",08:00,08:21
EST_10,CODAP,6,A,Lembranças do passado,"['trabalhava', 'recebia', '-', 'trabalhava', 'era', 'balansavam', 'era', 'era', 'brincavamos', 'passava', 'entardecia', 'acontecia', 'faltava', 'e', '-', '-', 'era', 'queria', '-', '-', '-', '-', '-', 'era', 'usava', '-', '-', '-', '-', '-', '-', 'dava', 'tinha', '-', 'tenho']","['verbo', 'verbo', '-', 'verbo', 'verbo', 'verbo', 'verbo', 'verbo', 'verbo', 'verbo', 'verbo', 'verbo', 'verbo', 'conjunção aditiva', '-', '-', 'verbo', 'verbo', '-', '-', '-', '-', '-', 'verbo', 'verbo', '-', '-', '-', '-', '-', '-', 'verbo', 'verbo', '-', 'verbo']","['mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', '-', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e campo semântico diferente', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', '-', '-', '-', 'mesma classe e mesmo campo semântico', 'mesma classe e campo semântico diferente', '-', '-', '-', '-', '-', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', '-', '-', '-', '-', '-', '-', 'mesma classe e mesmo campo semântico', 'mesma classe e mesmo campo semântico', '-', 'mesma classe e mesmo campo semântico']",08:09,08:30
